,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/7-fuchsia-ct-baulkham-hills-nsw-2153-12798159,"7 Fuchsia Ct, Baulkham Hills",4,3,2,250m2,772m2,$1.20M,$1.30M,$650/w,$750/w,House 1980 250m2 772m2 Residential - A 6233/DP259338 ,06 Oct 2020 Sold $1.28M,06 Sep 2018 Sold ,23 Dec 1980 Sold $104k
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/15-conie-ave-baulkham-hills-nsw-2153-13122877,"15 Conie Ave, Baulkham Hills",4,1,1,,904m2,$1.20M,$1.30M,$500/w,$575/w,House 1960 904m2 Residential - A 2/534021 ,03 Oct 2020 Sold ,06 Mar 2020 Listed for Rent $545 per week,18 Feb 2014 Sold $720k
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/1-darrambal-ave-baulkham-hills-nsw-2153-4808997,"1 Darrambal Ave, Baulkham Hills",4,2,4,,682m2,$1.20M,$1.30M,$650/w,$750/w,House 1985 682m2 House Residential - A 73/222959 ,03 Oct 2020 Sold $1.41M,29 May 2012 Sold $780k,02 Jul 1999 Sold $324k
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/4-attunga-st-baulkham-hills-nsw-2153-13008858,"4 Attunga St, Baulkham Hills",4,2,2,,942m2,$1.20M,$1.30M,$500/w,$575/w,House 1978 942m2 Residential - A 59/232705 ,30 Sep 2020 Sold $1.31M,12 Apr 1996 Sold $216k,12 Apr 1996 Sold $216k
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/4-barossa-ct-baulkham-hills-nsw-2153-12361244,"4 Barossa Ct, Baulkham Hills",5,3,2,,751m2,$1.30M,$1.40M,$850/w,$950/w,House 1986 751m2 Residential - A 4021/706320 ,29 Sep 2020 Sold $1.31M,"08 Sep 2020 Listed for Sale $1,311,000",13 Dec 2019 Sold 
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/43-cropley-dr-baulkham-hills-nsw-2153-12488857,"43 Cropley Dr, Baulkham Hills",4,2,2,150m2,810m2,$1.20M,$1.30M,$500/w,$575/w,House 1980 150m2 810m2 Residential - A 3029/252721 ,26 Sep 2020 Sold $1.22M,06 Mar 2015 Sold $988k,"14 Jan 2015 Listed for Sale Offers Over $865,000"
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/9-meehan-pl-baulkham-hills-nsw-2153-2099903,"9 Meehan Pl, Baulkham Hills",3,1,1,94m2,695m2,$1.20M,$1.30M,$650/w,$750/w,House 1970 94m2 695m2 Residential - A 921/238672 ,26 Sep 2020 Sold $1.62M,09 Apr 2014 Sold $785k,01 Dec 2004 Sold $428k
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/20-naomi-st-baulkham-hills-nsw-2153-21004795,"20 Naomi St, Baulkham Hills",-,-,-,,,$1.20M,$1.30M,,,House ,26 Sep 2020 Sold $1.34M,,
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/2-willow-dr-baulkham-hills-nsw-2153-2551422,"2 Willow Dr, Baulkham Hills",3,1,1,150m2,695m2,$1.10M,$1.20M,$500/w,$575/w,House 1965 150m2 695m2 Residence Residential - A 20/228420 ,26 Sep 2020 Sold ,12 Feb 2008 Sold $525k,20 Oct 2003 Sold $505k
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/35-palace-rd-baulkham-hills-nsw-2153-19360734,"35 Palace Rd, Baulkham Hills",3,2,2,,835m2,$1.00M,$1.10M,$575/w,$650/w,House 1982 835m2 Residential - A 31A/DP372180 ,24 Sep 2020 Sold $1.15M,"09 Sep 2020 Listed for Sale Price Guide $1,000,000 to $1,100,000",08 Dec 1982 Sold $52k
