,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/beecroft-2119/58-karril-ave-beecroft-nsw-2119-2062882,"58 Karril Ave, Beecroft",3,2,1,153m2,910m2,$1.60M,$1.80M,$575/w,$650/w,House 1965 153m2 910m2 Residential - A 18/31654 ,03 Oct 2020 Sold $1.65M,07 Aug 2014 Sold $913k,27 Jul 2013 Sold $913k
0,https://www.onthehouse.com.au/property/nsw/beecroft-2119/197-murray-farm-rd-beecroft-nsw-2119-4985338,"197 Murray Farm Rd, Beecroft",4,2,2,165m2,505m2,$1.30M,$1.40M,$650/w,$750/w,House 1999 165m2 505m2 Residential - A ,01 Oct 2020 Sold ,20 Jun 2014 Sold $925k,
0,https://www.onthehouse.com.au/property/nsw/beecroft-2119/68a-malton-rd-beecroft-nsw-2119-4876902,"68a Malton Rd, Beecroft",5,2,2,,1596m2,$2.00M,$2.20M,$1250/w,$1400/w,House 2009 1596m2 Residence Residential - A 103/DP255783 ,30 Sep 2020 Sold ,28 May 2009 Sold $725k,
0,https://www.onthehouse.com.au/property/nsw/beecroft-2119/89-hannah-st-beecroft-nsw-2119-12905101,"89 Hannah St, Beecroft",4,2,2,,826m2,$1.30M,$1.40M,$425/w,$500/w,House 1970 826m2 Residential - A 6/DP29005 ,23 Sep 2020 Sold ,,
0,https://www.onthehouse.com.au/property/nsw/beecroft-2119/72-bingara-rd-beecroft-nsw-2119-12957417,"72 Bingara Rd, Beecroft",5,3,2,300m2,758m2,$2.00M,$2.20M,$500/w,$575/w,House 2020 300m2 758m2 Residential - A 44/DP205869 ,19 Sep 2020 Sold $2.31M,17 Apr 2018 Sold $1.24M,23 Nov 2015 Rented $580
0,https://www.onthehouse.com.au/property/nsw/beecroft-2119/77-wongala-cres-beecroft-nsw-2119-13439353,"77 Wongala Cres, Beecroft",3,1,1,,1676m2,$1.60M,$1.80M,$650/w,$750/w,House 1970 1676m2 Residential - A 11/DP25897 ,05 Sep 2020 Sold $1.72M,,
0,https://www.onthehouse.com.au/property/nsw/beecroft-2119/16a-the-crescent-beecroft-nsw-2119-20995123,"16a The Crescent, Beecroft",-,-,-,,,$1.80M,$2.00M,,,House ,03 Sep 2020 Sold ,,
0,https://www.onthehouse.com.au/property/nsw/beecroft-2119/31-bambara-cres-beecroft-nsw-2119-13070880,"31 Bambara Cres, Beecroft",2,1,1,145m2,494m2,$1.40M,$1.50M,$425/w,$500/w,House 1960 145m2 494m2 Residential - A 79/DP203054 ,29 Aug 2020 Sold ,19 Oct 1984 Sold $212k,06 May 1983 Sold $70k
0,https://www.onthehouse.com.au/property/nsw/beecroft-2119/108-copeland-rd-beecroft-nsw-2119-2111631,"108 Copeland Rd, Beecroft",3,2,2,,1251m2,$2.20M,$2.40M,$750/w,$850/w,House 1924 1251m2 Residence Residential - A 2/324873 ,29 Aug 2020 Sold $2.42M,24 Feb 2005 Sold $1.15M,10 Dec 2003 Sold $970k
0,https://www.onthehouse.com.au/property/nsw/beecroft-2119/54-bingara-rd-beecroft-nsw-2119-13194787,"54 Bingara Rd, Beecroft",4,2,2,,744m2,$1.60M,$1.80M,$750/w,$850/w,House 1979 744m2 Residential - A 15/DP205869 ,22 Aug 2020 Sold ,22 Feb 1979 Sold $67k,22 Feb 1979 Sold $67k
