,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/10-macarthur-ridge-way-bella-vista-nsw-2153-9243901,"10 Macarthur Ridge Way, Bella Vista",4,3,4,390m2,533m2,$1.80M,$2.00M,$650/w,$750/w,House 2010 390m2 533m2 Residence Residential - A 11/270594 ,12 Oct 2020 Sold $1.70M,30 Apr 2012 Sold $999k,13 Sep 2010 Sold $966k
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/38a-ridgehaven-pl-bella-vista-nsw-2153-12770177,"38a Ridgehaven Pl, Bella Vista",5,3,2,,609m2,$1.30M,$1.40M,$750/w,$850/w,House 2000 609m2 Residential - A 40/DP1003897 ,09 Oct 2020 Sold ,14 Jan 2000 Sold $509k,14 Jan 2000 Sold $509k
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/12-saxonvale-rd-bella-vista-nsw-2153-12366378,"12 Saxonvale Rd, Bella Vista",5,3,2,,732m2,$1.30M,$1.40M,$650/w,$750/w,House 732m2 Residential - A 130/DP839013 ,08 Oct 2020 Sold ,26 Aug 2020 Listed for Sale SOLD BY SAM SHAMAL 0452 400 059,24 Dec 1996 Sold $168k
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/5-woodward-tce-bella-vista-nsw-2153-2245935,"5 Woodward Tce, Bella Vista",4,2,2,,761m2,$1.30M,$1.40M,$850/w,$950/w,House 1993 761m2 Residential - A 223/830532 ,03 Oct 2020 Sold $1.53M,07 Sep 2020 Listed for Sale SOLD | Soha & Sherry Soheili,16 Mar 2006 Sold $665k
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/10-rowanbrae-cres-bella-vista-nsw-2153-4423851,"10 Rowanbrae Cres, Bella Vista",5,3,3,,743m2,$2.00M,$2.20M,$1100/w,$1250/w,House 2003 743m2 Vacant Land Residential - A 109/1032022 ,03 Oct 2020 Sold $2.20M,09 Sep 2020 Listed for Sale SOLD BY DANIEL LLAMAS 0421 908 736,11 Mar 2003 Sold $800k
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/5-ibis-pl-bella-vista-nsw-2153-4444947,"5 Ibis Pl, Bella Vista",4,2,2,,273m2,$1.20M,$1.30M,$650/w,$750/w,House 1998 273m2 Residence Residential - A 68/270066 ,02 Oct 2020 Sold $1.22M,16 Sep 2020 Listed for Sale SOLD | Soha & Sherry Soheili,20 Dec 2002 Sold $465k
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/25-bimbadgen-pl-bella-vista-nsw-2153-5015007,"25 Bimbadgen Pl, Bella Vista",5,3,3,474m2,659m2,$2.60M,$2.80M,$1100/w,$1250/w,House 2014 474m2 659m2 Vacant Land Residential - A 1402/1063710 ,30 Sep 2020 Sold $2.83M,29 Nov 2019 Listed for Sale UNDER CONTRACT-Peter Iann 0488 00 2222,29 Nov 2019 Listed for Sale UNDER CONTRACT-Peter Iann 0488 00 2222
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/50-brighton-dr-bella-vista-nsw-2153-3655187,"50 Brighton Dr, Bella Vista",-,-,-,,700m2,$2.00M,$2.20M,$1100/w,$1250/w,House 700m2 Residential - A 915/1071531 ,29 Sep 2020 Sold $2.19M,10 Oct 2008 Sold $553k,
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/9-stonybrook-tce-bella-vista-nsw-2153-14864942,"9 Stonybrook Tce, Bella Vista",5,3,3,,,$2.40M,$2.60M,$850/w,$950/w,House Residential - A 2005/DP1130088 ,25 Sep 2020 Sold $2.70M,11 Sep 2020 Listed for Sale UNDER CONTRACT-Peter Iann 0488 00 2222,11 Sep 2020 Listed for Sale UNDER CONTRACT-Peter Iann 0488 00 2222
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/10-highrange-tce-bella-vista-nsw-2153-2065494,"10 Highrange Tce, Bella Vista",4,3,3,,542m2,$1.60M,$1.80M,$750/w,$850/w,House 2008 542m2 Residence Residential - A 1227/1047724 ,18 Sep 2020 Sold ,26 Nov 2008 Sold $850k,01 Mar 2004 Sold $490k
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/9-ashburn-cl-bella-vista-nsw-2153-4312241,"9 Ashburn Cl, Bella Vista",5,3,3,,700m2,$2.20M,$2.40M,$850/w,$950/w,House 2005 700m2 Vacant Land Residential - A 518/DP1056278 ,11 Sep 2020 Sold $2.45M,31 Jul 2020 Listed for Sale SOLD! by Peter Iann 0488 00 2222,19 Dec 2003 Sold $629k
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/33-francesco-cres-bella-vista-nsw-2153-15989463,"33 Francesco Cres, Bella Vista",4,2,2,,712m2,$1.40M,$1.50M,$650/w,$750/w,House 1988 712m2 Residential - A 9/DP845093 ,08 Sep 2020 Sold $1.55M,15 Jun 2020 Listed for Sale SOLD | Soha & Sherry Soheili,21 Nov 2000 Sold $466k
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/9-skylark-cct-bella-vista-nsw-2153-13277632,"9 Skylark Cct, Bella Vista",3,2,2,176m2,318m2,$1.20M,$1.30M,$575/w,$650/w,House 1998 176m2 318m2 Residential - A 86/270066 ,07 Sep 2020 Sold ,08 Aug 2013 Sold $695k,08 Aug 2013 Sold $695k
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/36b-bingara-cres-bella-vista-nsw-2153-14986140,"36b Bingara Cres, Bella Vista",5,3,2,208m2,966m2,$1.30M,$1.40M,$750/w,$850/w,House 2008 208m2 966m2 Residential - A 23/DP1111409 ,06 Sep 2020 Sold ,26 Aug 2020 Listed for Sale SOLD,25 Jan 2019 Listed for Sale Contact Agent
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/4-millhouse-pl-bella-vista-nsw-2153-2143885,"4 Millhouse Pl, Bella Vista",4,2,3,,635m2,$1.80M,$2.00M,$650/w,$750/w,House 2005 635m2 Vacant Land Residential - A 1002/1043484 ,04 Sep 2020 Sold $2.18M,08 Nov 2013 Sold $1.30M,02 May 2005 Sold $950k
