,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/37-arcadian-cct-carlingford-nsw-2118-13533904,"37 Arcadian Cct, Carlingford",5,3,2,721m2,$1.50M,$1.60M,$500/w,$575/w,House 1988 721m2 Residential - A 264/219123 ,02 Oct 2020 Sold $1.62M,23 Jul 1993 Sold $290k,04 Mar 1988 Sold $285k,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/30-brooklyn-cres-carlingford-nsw-2118-4544335,"30 Brooklyn Cres, Carlingford",3,2,2,331m2,$1.00M,$1.10M,$575/w,$650/w,House 2002 331m2 Residence Residential - A 53/DP270263 ,02 Oct 2020 Sold ,09 Sep 2020 Listed for Sale Auction 3/10/20 On site,17 May 2002 Sold $530k,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/383b-north-rocks-rd-carlingford-nsw-2118-4741693,"383b North Rocks Rd, Carlingford",4,2,8,931m2,$1.40M,$1.50M,$575/w,$650/w,House 1970 215m2 931m2 Residence Residential - A 4/220142 ,01 Oct 2020 Sold ,31 Aug 2012 Sold $775k,11 Dec 2000 Sold $440k,215m2
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/12-avonlea-dr-carlingford-nsw-2118-13572404,"12 Avonlea Dr, Carlingford",3,1,1,702m2,$1.30M,$1.40M,$500/w,$575/w,House 1986 702m2 Residential - A 6/DP233668 ,30 Sep 2020 Sold ,17 Jan 1986 Sold $82k,17 Jan 1986 Sold $82k,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/26-robin-st-carlingford-nsw-2118-4063838,"26 Robin St, Carlingford",3,2,1,696m2,$1.60M,$1.80M,$575/w,$650/w,House 1970 153m2 696m2 Residence Residential - A 25/28721 ,26 Sep 2020 Sold $1.60M,04 Sep 2020 Listed for Sale Auction: 10th October @11.15am(Unless Sold Prior),18 Dec 2014 Sold $1.43M,153m2
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/34-raimonde-rd-carlingford-nsw-2118-13233367,"34 Raimonde Rd, Carlingford",6,3,1,1024m2,$1.60M,$1.80M,$650/w,$750/w,House 1979 1024m2 Residential - A 5/DP209930 ,25 Sep 2020 Sold ,"21 Aug 2020 Listed for Sale Sold, Open Home Cancelled!",,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/14-adrian-ct-carlingford-nsw-2118-10241066,"14 Adrian Ct, Carlingford",5,3,2,697m2,$1.30M,$1.40M,$650/w,$750/w,House 1978 250m2 697m2 Residence Residential - A 1/258772 ,22 Sep 2020 Sold ,22 Aug 2020 Listed for Sale Sold Prior to Auction,24 Jul 2020 Listed for Rent $690 Per Week,250m2
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/26-rickard-st-carlingford-nsw-2118-13172437,"26 Rickard St, Carlingford",6,3,1,923m2,$1.60M,$1.80M,,,House 1975 923m2 Residential - A 23/DP207078 ,22 Sep 2020 Sold $1.83M,10 Aug 2020 Listed for Sale Under Contract,01 May 2018 Sold $1.66M,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/23-darwin-st-carlingford-nsw-2118-12923062,"23 Darwin St, Carlingford",3,1,1,759m2,$1.50M,$1.60M,$500/w,$575/w,House 1980 759m2 Residential - A 81/31772 ,19 Sep 2020 Sold $1.55M,01 Sep 2020 Listed for Sale Auction,27 Sep 2016 Rented $500,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/11-imlay-ave-carlingford-nsw-2118-13796878,"11 Imlay Ave, Carlingford",4,2,2,1220m2,$1.40M,$1.50M,$750/w,$850/w,House 1978 189m2 1220m2 Residential - A 128/251720 ,19 Sep 2020 Sold $1.52M,"18 Aug 2020 Listed for Sale SOLD | for $1,520,000",22 Apr 1980 Sold $114k,189m2
