,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/115-23--35-crane-rd-castle-hill-nsw-2154-17850324,"115/23-35 Crane Rd, Castle Hill",3,2,2,155m2,17394m2,$900k,$1.00M,$500/w,$575/w,Unit 2012 155m2 17394m2 Residential - A 117/SP87062 ,02 Oct 2020 Sold $860k,24 Sep 2020 Listed for Rent Just Listed $600 P/W,"09 Jul 2020 Listed for Sale $850,000 - $900,000"
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/16-orleans-way-castle-hill-nsw-2154-4340757,"16 Orleans Way, Castle Hill",4,2,2,174m2,539m2,$1.30M,$1.40M,$650/w,$750/w,House 2004 174m2 539m2 Residence Residential - A 823/1033894 ,02 Oct 2020 Sold $1.30M,"10 Jun 2020 Listed for Sale $1,300,000 - $1,350,000",06 Nov 2014 Rented $700
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/18-bassett-pl-castle-hill-nsw-2154-12685653,"18 Bassett Pl, Castle Hill",5,4,2,,733m2,$1.60M,$1.80M,$750/w,$850/w,House 1996 733m2 Residential - A 24/845186 ,01 Oct 2020 Sold $1.80M,"25 Aug 2020 Listed for Sale Sold! $1,800,000",03 Nov 1995 Sold $175k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/110-showground-rd-castle-hill-nsw-2154-2395636,"110 Showground Rd, Castle Hill",4,2,5,,939m2,$1.54M,$1.88M,,,House 1978 939m2 Residential - A 163/597071 ,28 Sep 2020 Sold $1.62M,"31 Mar 2020 Listed for Sale Price Guide $1,600,000 to $1,760,000",01 Feb 2007 Sold $555k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/12-cumberland-ave-castle-hill-nsw-2154-13649704,"12 Cumberland Ave, Castle Hill",4,3,2,,962m2,$1.60M,$1.80M,$750/w,$850/w,House 1978 962m2 Residential - A 145/DP247711 ,26 Sep 2020 Sold $1.71M,02 Sep 2020 Listed for Sale SOLD BY JOEL SIMPSON,
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/2-broadsword-pl-castle-hill-nsw-2154-9204165,"2 Broadsword Pl, Castle Hill",5,3,3,285m2,969m2,$1.60M,$1.80M,$750/w,$850/w,House 1990 285m2 969m2 Residence Residential - A 1333/748788 ,26 Sep 2020 Sold $2.00M,30 Jul 2010 Sold $880k,16 Jan 1991 Sold $395k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/9-12--18-sherwin-ave-castle-hill-nsw-2154-14262978,"9/12-18 Sherwin Ave, Castle Hill",2,2,2,100m2,3642m2,$750k,$800k,$500/w,$575/w,Unit 1996 100m2 3642m2 Residential - A 9/SP79878 ,25 Sep 2020 Sold ,09 Jan 2018 Sold $770k,07 Nov 2017 Listed for Sale Auction
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/65-fishburn-cres-castle-hill-nsw-2154-2340709,"65 Fishburn Cres, Castle Hill",4,2,2,,960m2,$1.50M,$1.60M,$750/w,$850/w,House 1997 960m2 Residential - A 11/255569 ,25 Sep 2020 Sold ,03 Oct 2006 Sold $665k,31 May 2000 Sold $436k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/5-benbullen-way-castle-hill-nsw-2154-2488322,"5 Benbullen Way, Castle Hill",5,4,2,,700m2,$1.80M,$2.00M,$575/w,$650/w,House 700m2 Residential - A 520/1112398 ,25 Sep 2020 Sold ,01 Sep 2020 Listed for Sale Sold,09 Oct 2007 Sold $550k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/27-bassett-pl-castle-hill-nsw-2154-4449356,"27 Bassett Pl, Castle Hill",5,3,3,251m2,751m2,$1.60M,$1.80M,$750/w,$850/w,House 1990 251m2 751m2 House Residential - A 12/845186 ,24 Sep 2020 Sold ,04 Sep 2020 Listed for Sale SOLD BY SAM SHAMAL 0452 400 059,02 May 2011 Sold $943k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/4-st-pauls-ave-castle-hill-nsw-2154-4538050,"4 St Pauls Ave, Castle Hill",4,2,3,,641m2,$1.60M,$1.80M,$1250/w,$1400/w,House 2001 641m2 Vacant Land Residential - A 4/1130428 ,24 Sep 2020 Sold $1.72M,12 Jun 2020 Listed for Rent $1250 per week,31 Jan 2019 Listed for Rent $1250 per week
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/42-31--39-sherwin-ave-castle-hill-nsw-2154-14262990,"42/31-39 Sherwin Ave, Castle Hill",1,1,2,,7889m2,$650k,$700k,$425/w,$500/w,Unit 2003 7889m2 Residential - A ,22 Sep 2020 Sold $720k,"10 Sep 2020 Listed for Sale $720,000",17 Nov 2006 Sold $385k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/1-21-david-rd-castle-hill-nsw-2154-4774069,"1/21 David Rd, Castle Hill",3,2,2,148m2,440m2,$1.00M,$1.10M,$575/w,$650/w,House 1990 148m2 440m2 Residence Residential - A 1/SP42700 ,22 Sep 2020 Sold $1.15M,27 Aug 2020 Listed for Sale Price Guide $1.15m-$1.2m Call Jack on 0425232728,29 Oct 2015 Listed for Sale Offers above $1 million
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/3-4--10-orange-gr-castle-hill-nsw-2154-13858626,"3/4-10 Orange Gr, Castle Hill",2,2,2,,4471m2,$750k,$800k,$500/w,$575/w,Unit 2002 4471m2 Residential - A 3/SP68656 ,21 Sep 2020 Sold ,05 May 2020 Listed for Sale Sold,23 Oct 2015 Sold $690k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/100-old-castle-hill-rd-castle-hill-nsw-2154-12651959,"100 Old Castle Hill Rd, Castle Hill",5,4,3,210m2,900m2,$1.60M,$1.80M,$950/w,$1100/w,House 1980 210m2 900m2 Residential - A 5/DP259594 ,19 Sep 2020 Sold ,21 Aug 2020 Listed for Sale Contact Agent,02 Mar 2018 Sold $1.30M
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/32-ambleside-dr-castle-hill-nsw-2154-13199477,"32 Ambleside Dr, Castle Hill",3,2,2,,717m2,$1.20M,$1.30M,$500/w,$575/w,House 1979 717m2 Residential - A 104/DP262802 ,19 Sep 2020 Sold $1.38M,"14 Sep 2020 Listed for Sale $1,350,000",
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/4-marriott-gr-castle-hill-nsw-2154-13247556,"4 Marriott Gr, Castle Hill",5,3,2,266m2,761m2,$1.60M,$1.80M,$850/w,$950/w,House 1997 266m2 761m2 Residential - A 126/DP847782 ,19 Sep 2020 Sold $1.72M,,
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/35-31--39-sherwin-ave-castle-hill-nsw-2154-14262986,"35/31-39 Sherwin Ave, Castle Hill",2,2,4,,7889m2,$800k,$900k,$500/w,$575/w,Unit 2003 7889m2 Residential - A ,19 Sep 2020 Sold ,25 Jun 2020 Listed for Sale SOLD,18 Mar 2009 Sold $440k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/16-jarrah-pl-castle-hill-nsw-2154-2095691,"16 Jarrah Pl, Castle Hill",5,3,3,,751m2,$2.00M,$2.20M,$750/w,$850/w,House 2005 751m2 Vacant Land Residential - A 12/1038358 ,19 Sep 2020 Sold $2.09M,26 Aug 2020 Listed for Sale Your Search Ends Here!,14 Apr 2005 Sold $1.18M
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/20-belltree-cres-castle-hill-nsw-2154-19298225,"20 Belltree Cres, Castle Hill",4,2,4,,563m2,$1.30M,$1.40M,$650/w,$750/w,House 2000 563m2 Residential - A 3416/879748 ,18 Sep 2020 Sold $1.37M,"05 Aug 2020 Listed for Sale $1,360,000 - $1,400,000",04 Aug 2009 Sold $628k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/12-norham-mews-castle-hill-nsw-2154-2071179,"12 Norham Mews, Castle Hill",5,3,2,268m2,700m2,$1.30M,$1.40M,$650/w,$750/w,House 2005 268m2 700m2 Residential - A 322/1051407 ,18 Sep 2020 Sold $1.38M,18 Jun 2020 Listed for Sale Sold by Sam Shamal !! 0452 400 059,16 Apr 2018 Listed for Rent $750 per week
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/10-telfer-rd-castle-hill-nsw-2154-2494232,"10 Telfer Rd, Castle Hill",4,1,4,200m2,917m2,$1.10M,$1.20M,$350/w,$425/w,House 1980 200m2 917m2 Residence Residential - A E/23951 ,18 Sep 2020 Sold ,08 May 2020 Listed for Sale Sold,08 Jul 2015 Listed for Rent $900.00 PW
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/7-owen-way-castle-hill-nsw-2154-2504008,"7 Owen Way, Castle Hill",5,3,3,,715m2,$1.80M,$2.00M,$850/w,$950/w,House 715m2 Residential - A 16/285916 ,18 Sep 2020 Sold $2.03M,11 Aug 2020 Listed for Sale Call Agent Jack Bi on 0425232728 for More Details,09 Aug 2007 Sold $470k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/1-52-parsonage-rd-castle-hill-nsw-2154-3325358,"1/52 Parsonage Rd, Castle Hill",3,2,1,131m2,4506m2,$1.00M,$1.10M,$575/w,$650/w,Unit 1989 131m2 4506m2 Residential - A 1/SP35000 ,18 Sep 2020 Sold $987k,10 Apr 2018 Sold $905k,27 May 2008 Sold $453k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/5-26--28-kerrs-rd-castle-hill-nsw-2154-17863015,"5/26-28 Kerrs Rd, Castle Hill",3,2,2,123m2,2279m2,$1.10M,$1.20M,$650/w,$750/w,Unit 2012 123m2 2279m2 Residential - A 5/SP88277 ,17 Sep 2020 Sold $1.20M,24 Mar 2015 Sold $950k,21 Jun 2013 Sold $599k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/2-cynthia-ave-castle-hill-nsw-2154-4742780,"2 Cynthia Ave, Castle Hill",5,3,4,222m2,967m2,$1.50M,$1.60M,$500/w,$575/w,House 1980 222m2 967m2 Residential - A 2/237036 ,17 Sep 2020 Sold ,19 Aug 2020 Listed for Sale SOLD BY JOEL SIMPSON,23 Jul 2019 Sold 
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/90-2--4-purser-ave-castle-hill-nsw-2154-14121868,"90/2-4 Purser Ave, Castle Hill",1,2,1,,10299m2,$700k,$750k,$500/w,$575/w,Unit 2006 10299m2 Residential - A 90/SP76430 ,16 Sep 2020 Sold $753k,28 Sep 2015 Sold $714k,20 Jul 2006 Sold $405k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/4-45--47-kerrs-rd-castle-hill-nsw-2154-9121535,"4/45-47 Kerrs Rd, Castle Hill",3,2,2,122m2,1433m2,$900k,$1.00M,$500/w,$575/w,Unit 2010 122m2 1433m2 Residential - A 4/SP84432 ,16 Sep 2020 Sold $985k,26 Sep 2019 Sold ,22 Oct 2010 Sold $581k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/9-lemonwood-pl-castle-hill-nsw-2154-13402970,"9 Lemonwood Pl, Castle Hill",4,3,2,,825m2,$1.60M,$1.80M,$1100/w,$1250/w,House 1987 825m2 Residence Residential - A 26/738480 ,12 Sep 2020 Sold $1.63M,16 Mar 2012 Sold $845k,16 Mar 2012 Sold $845k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/14-olola-ave-castle-hill-nsw-2154-4387918,"14 Olola Ave, Castle Hill",4,3,2,,753m2,$1.50M,$1.60M,$650/w,$750/w,House 2003 753m2 Residence Residential - A 13/221959 ,12 Sep 2020 Sold $1.38M,16 Jul 2016 Rented $600,15 Jun 2016 Listed for Rent $660
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/1-3-banks-rd-castle-hill-nsw-2154-5943836,"1/3 Banks Rd, Castle Hill",3,2,2,216m2,235m2,,,$650/w,$750/w,House 2008 216m2 235m2 Residence Residential - A 2/286141 ,12 Sep 2020 Sold $1.37M,04 Oct 2011 Sold $780k,27 Mar 2010 Sold $655k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/178b-old-northern-rd-castle-hill-nsw-2154-13020764,"178b Old Northern Rd, Castle Hill",5,1,-,,1311m2,$1.06M,$1.59M,,,House 1975 1311m2 Residential - A 6/229780 ,11 Sep 2020 Sold $1.23M,"25 Jun 2020 Listed for Sale Price Guide $1,200,000 to $1,300,000",21 Jul 1989 Sold $185k
