,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/cherrybrook-2126/7-penrose-ave-cherrybrook-nsw-2126-2087171,"7 Penrose Ave, Cherrybrook",4,3,2,700m2,$1.60M,$1.80M,$750/w,$850/w,House 1996 700m2 Residential - A 2055/260332 ,03 Oct 2020 Sold ,07 Sep 2020 Listed for Sale Auction 3rd Oct 3.30pm,22 Dec 2004 Sold $620k,
0,https://www.onthehouse.com.au/property/nsw/cherrybrook-2126/64-hancock-dr-cherrybrook-nsw-2126-2215200,"64 Hancock Dr, Cherrybrook",5,3,2,1522m2,$1.80M,$2.00M,$350/w,$425/w,House 1990 426m2 1522m2 Residential - A 7420/736848 ,02 Oct 2020 Sold $2.10M,"23 Mar 2020 Listed for Sale $2,100,000",07 May 2007 Sold $785k,426m2
0,https://www.onthehouse.com.au/property/nsw/cherrybrook-2126/81-gumnut-rd-cherrybrook-nsw-2126-4480867,"81 Gumnut Rd, Cherrybrook",4,2,2,918m2,$1.30M,$1.40M,$650/w,$750/w,House 1992 918m2 Residence Residential - A 9/789437 ,02 Oct 2020 Sold $1.33M,"20 Jul 2020 Listed for Sale $1,330,000",14 May 2019 Listed for Rent $690,
0,https://www.onthehouse.com.au/property/nsw/cherrybrook-2126/25-patu-pl-cherrybrook-nsw-2126-19325920,"25 Patu Pl, Cherrybrook",4,3,2,939m2,$1.60M,$1.80M,$650/w,$750/w,House 2006 939m2 Residential - A 1148/819527 ,26 Sep 2020 Sold $1.90M,"02 Sep 2020 Listed for Sale $1,900,000",21 Jul 2006 Sold $865k,
0,https://www.onthehouse.com.au/property/nsw/cherrybrook-2126/5-jennifer-pl-cherrybrook-nsw-2126-13253393,"5 Jennifer Pl, Cherrybrook",4,2,2,824m2,$1.40M,$1.50M,$750/w,$850/w,House 1984 824m2 Residential - A 3717/DP703690 ,24 Sep 2020 Sold ,31 May 1984 Sold $61k,,
0,https://www.onthehouse.com.au/property/nsw/cherrybrook-2126/12b-autumn-leaf-gr-cherrybrook-nsw-2126-4809367,"12b Autumn Leaf Gr, Cherrybrook",3,2,2,623m2,$1.20M,$1.30M,$575/w,$650/w,House 2011 623m2 Residence Residential - A 2/883699 ,24 Sep 2020 Sold ,25 Aug 2020 Listed for Sale Contact Agent,02 Mar 2019 Sold ,
0,https://www.onthehouse.com.au/property/nsw/cherrybrook-2126/39-parkhill-cres-cherrybrook-nsw-2126-4631183,"39 Parkhill Cres, Cherrybrook",5,3,2,779m2,$1.40M,$1.50M,$750/w,$850/w,House 1985 180m2 779m2 Residence Residential - A 1410/260747 ,21 Sep 2020 Sold $1.56M,"10 Aug 2020 Listed for Sale $1,555,000",12 Mar 2018 Listed for Rent APPLICATION APPROVED! HOLDING DEPOSIT PAID,180m2
0,https://www.onthehouse.com.au/property/nsw/cherrybrook-2126/1-68-county-dr-cherrybrook-nsw-2126-4507115,"1/68 County Dr, Cherrybrook",3,2,1,743m2,$1.10M,$1.20M,$575/w,$650/w,House 1994 112m2 743m2 Residential - A 1/SP46666 ,15 Sep 2020 Sold ,06 Aug 2020 Listed for Sale Express Sale,19 Jul 2013 Sold $620k,112m2
0,https://www.onthehouse.com.au/property/nsw/cherrybrook-2126/4-boldrewood-pl-cherrybrook-nsw-2126-8369976,"4 Boldrewood Pl, Cherrybrook",5,3,2,787m2,$1.60M,$1.80M,$575/w,$650/w,House 1985 787m2 Residence Residential - A 8714/739220 ,14 Sep 2020 Sold ,"07 Jul 2020 Listed for Sale $1,590,000 - $1,650,000",06 Aug 2013 Sold $843k,
0,https://www.onthehouse.com.au/property/nsw/cherrybrook-2126/75a-gumnut-rd-cherrybrook-nsw-2126-11635893,"75a Gumnut Rd, Cherrybrook",3,2,1,350m2,$1.20M,$1.30M,$575/w,$650/w,House 2000 350m2 Residence Residential - A 5/DP1140017 ,11 Sep 2020 Sold ,27 Aug 2020 Listed for Sale RECENT SALES,06 May 2011 Sold $430k,
