,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/12-melba-dr-east-ryde-nsw-2113-2071169,"12 Melba Dr, East Ryde",2,1,1,309m2,292m2,$1.80M,$2.00M,$425/w,$500/w,House 1970 309m2 292m2 Residential - A 236/30690 ,10 Oct 2020 Sold ,19 Nov 2004 Sold $730k,19 Nov 2004 Sold $730k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/2-rodney-st-east-ryde-nsw-2113-13078582,"2 Rodney St, East Ryde",3,2,2,,697m2,$1.60M,$1.80M,$575/w,$650/w,House 1979 697m2 Residential - A 1/DP236893 ,03 Oct 2020 Sold ,10 Sep 2020 Listed for Sale Auction On Site October 3 at 10.30am,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/28-lumsdaine-ave-east-ryde-nsw-2113-2537614,"28 Lumsdaine Ave, East Ryde",4,1,1,,578m2,$1.60M,$1.80M,$750/w,$850/w,House 1980 578m2 Residential - A 405/31574 ,21 Sep 2020 Sold $1.80M,15 Jul 2020 Listed for Sale For Sale - Contact Agent,14 Jan 2008 Sold $730k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/5-shaw-st-east-ryde-nsw-2113-13241508,"5 Shaw St, East Ryde",4,2,2,,670m2,$1.50M,$1.60M,$500/w,$575/w,House 1979 670m2 Residential - A 25/DP26163 ,17 Sep 2020 Sold ,,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/27-jeanette-st-east-ryde-nsw-2113-2468252,"27 Jeanette St, East Ryde",3,1,1,,690m2,$1.60M,$1.80M,$575/w,$650/w,House 1980 690m2 Residence Residential - A 31/236893 ,05 Sep 2020 Sold $1.60M,"12 Aug 2020 Listed for Sale Guide $1,400,000 Auct 5/9/20 9am on site",16 Mar 2007 Sold $623k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/15-mccallum-ave-east-ryde-nsw-2113-4505425,"15 Mccallum Ave, East Ryde",2,1,1,204m2,582m2,$1.80M,$2.00M,$750/w,$850/w,House 1960 204m2 582m2 Residence Residential - A 91/31463 ,02 Sep 2020 Sold $1.97M,31 May 2011 Sold $760k,31 May 2011 Sold $760k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/64-moncrieff-dr-east-ryde-nsw-2113-3424606,"64 Moncrieff Dr, East Ryde",4,2,1,,878m2,$1.80M,$2.00M,$650/w,$750/w,House 1987 878m2 Residential - A 10/239277 ,10 Aug 2020 Sold ,15 Aug 2007 Sold $890k,21 Jun 1991 Sold $269k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/66-coxs-rd-east-ryde-nsw-2113-5870455,"66 Coxs Rd, East Ryde",6,3,2,400m2,557m2,$2.40M,$2.60M,$950/w,$1100/w,House 2016 400m2 557m2 Residence Residential - A 11/20313 ,22 Jul 2020 Sold $2.53M,24 Aug 2017 Rented $1.45k,"23 Jun 2017 Listed for Rent $1,450"
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/65-melba-dr-east-ryde-nsw-2113-4814975,"65 Melba Dr, East Ryde",3,2,1,,607m2,$1.50M,$1.60M,$575/w,$650/w,House 1996 607m2 Residential - A 35/31253 ,14 Jul 2020 Sold ,12 Apr 1999 Sold $360k,07 Aug 1996 Sold $255k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/19-moncrieff-dr-east-ryde-nsw-2113-13539986,"19 Moncrieff Dr, East Ryde",4,2,2,189m2,575m2,$1.80M,$2.00M,$650/w,$750/w,House 1960 189m2 575m2 Residence Residential - A 293/31194 ,09 Jul 2020 Sold $1.85M,15 Mar 2013 Sold $908k,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/125-melba-dr-east-ryde-nsw-2113-12801909,"125 Melba Dr, East Ryde",5,3,3,,1226m2,$1.60M,$1.80M,$575/w,$650/w,House 1978 1226m2 Residential - A 59/DP31463 ,03 Jul 2020 Sold $1.96M,,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/10-rene-st-east-ryde-nsw-2113-13617676,"10 Rene St, East Ryde",5,3,4,,626m2,$1.90M,$2.85M,$650/w,$750/w,House 1980 626m2 Residential - A 121/31574 ,03 Jul 2020 Sold ,23 Dec 1992 Sold $323k,30 Jun 1989 Sold $400k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/116-moncrieff-dr-east-ryde-nsw-2113-2089000,"116 Moncrieff Dr, East Ryde",5,3,3,,594m2,$1.60M,$1.80M,$750/w,$850/w,House 1981 594m2 Residential - A 114/31574 ,10 Jun 2020 Sold $1.71M,27 Nov 2019 Sold ,03 Dec 2014 Sold $1.50M
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/12-bronhill-ave-east-ryde-nsw-2113-13446478,"12 Bronhill Ave, East Ryde",3,1,1,133m2,592m2,$1.50M,$1.60M,$750/w,$850/w,House 1960 133m2 592m2 Residential - A 6/DP223567 ,25 May 2020 Sold $1.39M,04 May 1983 Sold $104k,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/76-elliott-ave-east-ryde-nsw-2113-13528845,"76 Elliott Ave, East Ryde",5,3,3,,575m2,$1.60M,$1.80M,$850/w,$950/w,House 1981 575m2 Residential - A 348/31463 ,15 May 2020 Sold $1.58M,12 Dec 1997 Sold $436k,25 Oct 1991 Sold $268k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/300-pittwater-rd-east-ryde-nsw-2113-4711219,"300 Pittwater Rd, East Ryde",5,3,2,,1347m2,$1.60M,$1.80M,$650/w,$750/w,House 1999 1347m2 Residence Residential - A 7/9322 ,04 May 2020 Sold $1.59M,07 Dec 2018 Sold ,30 Apr 2009 Sold $806k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/8-long-ave-east-ryde-nsw-2113-12496276,"8 Long Ave, East Ryde",3,2,2,,535m2,$1.50M,$1.60M,$575/w,$650/w,House 1979 535m2 Residential - A 60/DP26163 ,01 May 2020 Sold $1.45M,28 Oct 2019 Sold ,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/9-melba-dr-east-ryde-nsw-2113-2398528,"9 Melba Dr, East Ryde",4,1,1,,575m2,$2.00M,$2.20M,$650/w,$750/w,House 1980 575m2 Residence Residential - A 7/30690 ,18 Mar 2020 Sold $2.41M,20 Feb 2019 Sold ,02 Feb 2007 Sold $660k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/10-rodney-st-east-ryde-nsw-2113-8226122,"10 Rodney St, East Ryde",6,3,3,,796m2,$2.60M,$2.80M,$750/w,$850/w,House 1979 796m2 Null Residential - A 5/DP236893 ,12 Mar 2020 Sold $2.02M,06 Apr 2001 Sold $650k,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/34-coxs-rd-east-ryde-nsw-2113-2082469,"34 Coxs Rd, East Ryde",3,2,2,130m2,308m2,$1.30M,$1.40M,$650/w,$750/w,House 2000 130m2 308m2 Residence Residential - A 13/845287 ,09 Mar 2020 Sold ,23 Nov 2016 Sold $1.26M,16 Dec 2004 Sold $620k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/90-elliott-ave-east-ryde-nsw-2113-2494837,"90 Elliott Ave, East Ryde",3,2,1,,575m2,$1.60M,$1.80M,$500/w,$575/w,House 2000 575m2 Residential - A 354/31463 ,06 Mar 2020 Sold $1.69M,22 Oct 2007 Sold $856k,08 Dec 2000 Sold $360k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/77-moncrieff-dr-east-ryde-nsw-2113-12628571,"77 Moncrieff Dr, East Ryde",4,2,2,,599m2,$1.80M,$2.00M,$650/w,$750/w,House 1978 599m2 Residential - A 360/DP31574 ,21 Feb 2020 Sold ,13 Jan 2020 Listed for Sale Auction On Site February 8 at 12.30pm,02 May 2018 Sold 
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/16-elliott-ave-east-ryde-nsw-2113-11234336,"16 Elliott Ave, East Ryde",3,2,1,101m2,575m2,$1.60M,$1.80M,$650/w,$750/w,House 1960 101m2 575m2 Residence Residential - A 281/31194 ,20 Feb 2020 Sold $1.77M,20 May 2016 Listed for Rent **Application Taken**,03 Nov 2015 Listed for Rent **Application Taken**
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/20-jeanette-st-east-ryde-nsw-2113-12416462,"20 Jeanette St, East Ryde",4,3,2,,593m2,,,$575/w,$650/w,House 1989 593m2 Residential - A 13/DP236893 ,18 Feb 2020 Sold ,10 Jul 1989 Sold $300k,10 Jul 1989 Sold $300k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/11-cilento-cres-east-ryde-nsw-2113-8226528,"11 Cilento Cres, East Ryde",4,2,2,,582m2,$1.60M,$1.80M,$650/w,$750/w,House 1984 582m2 Null Residential - A 207/30690 ,11 Dec 2019 Sold ,02 May 2001 Sold $450k,22 Mar 1993 Sold $60k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/33-finch-ave-east-ryde-nsw-2113-13414379,"33 Finch Ave, East Ryde",4,2,2,,720m2,$1.80M,$2.00M,$425/w,$500/w,House 2012 720m2 Residence Residential - A 15/239277 ,06 Dec 2019 Sold $1.93M,16 Jul 2012 Sold $935k,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/5-rene-st-east-ryde-nsw-2113-13201413,"5 Rene St, East Ryde",3,2,2,,842m2,$1.60M,$1.80M,$750/w,$850/w,House 1979 842m2 Residential - A 72/DP207469 ,23 Nov 2019 Sold $1.74M,,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/36-elliott-ave-east-ryde-nsw-2113-4816029,"36 Elliott Ave, East Ryde",5,2,1,191m2,575m2,$2.00M,$2.20M,$1250/w,$1400/w,House 1960 191m2 575m2 Residential - A 337/31252 ,22 Nov 2019 Sold $1.73M,22 Nov 1999 Sold $330k,26 Sep 1979 Sold $93k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/18-fox-rd-east-ryde-nsw-2113-12562537,"18 Fox Rd, East Ryde",4,2,2,,631m2,$1.50M,$1.60M,$650/w,$750/w,House 1978 631m2 Residential - A 9/DP30679 ,15 Nov 2019 Sold $467k,,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/19-elliott-ave-east-ryde-nsw-2113-12935253,"19 Elliott Ave, East Ryde",4,2,1,,576m2,$1.60M,$1.80M,$750/w,$850/w,House 1978 576m2 Residential - A 265/DP30690 ,09 Nov 2019 Sold $1.64M,15 Oct 2019 Listed for Sale Auction On Site Saturday November 9th at 12.15pm,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/83-melba-dr-east-ryde-nsw-2113-2085243,"83 Melba Dr, East Ryde",5,3,2,245m2,878m2,$2.20M,$2.40M,$650/w,$750/w,House 1970 245m2 878m2 Residential - A 44/31252 ,20 Oct 2019 Sold $1.97M,01 Feb 2008 Sold $990k,10 Dec 2004 Sold $938k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/8-mccallum-ave-east-ryde-nsw-2113-12560856,"8 Mccallum Ave, East Ryde",4,2,2,,654m2,$1.80M,$2.00M,$425/w,$500/w,House 2002 654m2 Residential - A 112/31680 ,15 Oct 2019 Sold ,23 Jul 2002 Sold $650k,23 Jul 2002 Sold $650k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/10-wolfe-rd-east-ryde-nsw-2113-4815339,"10 Wolfe Rd, East Ryde",3,1,2,,826m2,$1.46M,$2.18M,$500/w,$575/w,House 1980 826m2 Residential - A 8/24622 ,11 Oct 2019 Sold ,25 Nov 2005 Sold $706k,30 Apr 2005 Sold $706k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/13-mccallum-ave-east-ryde-nsw-2113-12897650,"13 Mccallum Ave, East Ryde",3,2,2,178m2,601m2,$1.80M,$2.00M,$425/w,$500/w,House 1950 178m2 601m2 Residential - A 93/31463 ,10 Oct 2019 Sold $1.74M,08 Aug 1997 Sold $365k,08 Aug 1997 Sold $365k
