,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/56-brush-rd-eastwood-nsw-2122-12712848,"56 Brush Rd, Eastwood",5,2,2,288m2,835m2,$1.80M,$2.00M,$650/w,$750/w,House 1996 288m2 835m2 Residential - A 1/DP387863 ,02 Oct 2020 Sold ,24 Sep 2020 Listed for Sale Contact Agent,
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/37-raimonde-rd-eastwood-nsw-2122-12072916,"37 Raimonde Rd, Eastwood",4,3,1,174m2,696m2,$1.50M,$1.60M,$750/w,$850/w,House 1950 174m2 696m2 Residence Residential - A 21/9950 ,28 Sep 2020 Sold $1.58M,13 Jul 2011 Sold $790k,
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/3-banksia-st-eastwood-nsw-2122-12474298,"3 Banksia St, Eastwood",3,1,1,,636m2,$1.50M,$1.60M,$500/w,$575/w,House 1980 636m2 Residential - A 29/DP17583 ,26 Sep 2020 Sold $1.82M,"01 Sep 2020 Listed for Sale SOLD $1,815,000",
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/124-abuklea-rd-eastwood-nsw-2122-2187891,"124 Abuklea Rd, Eastwood",3,2,2,778m2,777m2,$1.60M,$1.80M,$650/w,$750/w,House 1960 778m2 777m2 Residential - A 93/20353 ,22 Sep 2020 Sold ,12 Sep 2005 Sold $540k,15 Jun 1995 Sold $292k
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/2-dawes-cres-eastwood-nsw-2122-12629647,"2 Dawes Cres, Eastwood",4,2,1,,588m2,$1.60M,$1.80M,$575/w,$650/w,House 1960 588m2 Residential - A 2/DP30749 ,18 Sep 2020 Sold $1.51M,02 Sep 2020 Listed for Sale Auction 26/9/2020 at 9am,22 Nov 1991 Sold $192k
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/56-darvall-rd-eastwood-nsw-2122-13187277,"56 Darvall Rd, Eastwood",3,1,1,143m2,987m2,$2.00M,$2.20M,$650/w,$750/w,House 1940 143m2 987m2 Residence Residential - A 12/13514 ,18 Sep 2020 Sold ,20 Mar 2012 Sold $956k,
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/28-glendower-ave-eastwood-nsw-2122-13616874,"28 Glendower Ave, Eastwood",6,3,4,309m2,1391m2,$2.40M,$2.60M,$650/w,$750/w,House 1940 309m2 1391m2 Residential - A 27/DP20353 ,11 Sep 2020 Sold ,02 May 2017 Sold $2.51M,01 Feb 2017 Listed for Sale Auction - Unless sold prior
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/14-stewart-st-eastwood-nsw-2122-13450619,"14 Stewart St, Eastwood",4,2,1,202m2,916m2,$2.60M,$2.80M,$650/w,$750/w,House 1925 202m2 916m2 Residential - A 29/5132 ,10 Sep 2020 Sold $2.60M,11 Dec 2013 Sold $1.80M,17 Nov 1989 Sold $307k
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/16-grove-st-eastwood-nsw-2122-4596904,"16 Grove St, Eastwood",4,2,2,117m2,765m2,$1.60M,$1.80M,$650/w,$750/w,House 1950 117m2 765m2 Residence Residential - A D/415261 ,09 Sep 2020 Sold $1.98M,04 Sep 2020 Listed for Sale Contact Agent,16 Nov 2001 Sold $215k
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/6-munro-st-eastwood-nsw-2122-13166100,"6 Munro St, Eastwood",4,2,2,,584m2,$1.50M,$1.60M,$575/w,$650/w,House 1979 584m2 Residential - A 3/DP223595 ,05 Sep 2020 Sold $1.55M,,
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/20-epping-ave-eastwood-nsw-2122-13162336,"20 Epping Ave, Eastwood",3,1,1,,920m2,$2.00M,$2.20M,$750/w,$850/w,House 1980 920m2 Residential - A 114/DP8424 ,03 Sep 2020 Sold ,15 Feb 1985 Sold $60k,15 Feb 1985 Sold $60k
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/10-waratah-st-eastwood-nsw-2122-13709723,"10 Waratah St, Eastwood",4,1,3,,872m2,$1.60M,$1.80M,$650/w,$750/w,House 1980 872m2 Residential - A 77/DP17583 ,03 Sep 2020 Sold ,27 Aug 2020 Listed for Sale Auction (If Not Sold Prior),27 Aug 2020 Listed for Sale Auction (If Not Sold Prior)
