,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/epping-2121/25b-norfolk-rd-epping-nsw-2121-4050048,"25b Norfolk Rd, Epping",4,2,2,225m2,493m2,$1.60M,$1.80M,$750/w,$850/w,House 1997 225m2 493m2 Residence Residential - A 2/868035 ,30 Sep 2020 Sold ,08 Jan 2009 Sold $980k,15 Jul 1997 Sold $360k
0,https://www.onthehouse.com.au/property/nsw/epping-2121/5-abuklea-rd-epping-nsw-2121-19405343,"5 Abuklea Rd, Epping",4,1,1,,769m2,$1.60M,$1.80M,$575/w,$650/w,House 1980 769m2 Residential - A 82/6719 ,26 Sep 2020 Sold $1.62M,20 Nov 2007 Sold $837k,20 Nov 2007 Sold $837k
0,https://www.onthehouse.com.au/property/nsw/epping-2121/2-lomax-st-epping-nsw-2121-2052645,"2 Lomax St, Epping",3,2,2,200m2,936m2,$1.80M,$2.00M,$575/w,$650/w,House 1970 200m2 936m2 Residential - A 1/236776 ,22 Sep 2020 Sold $2.03M,11 Sep 2020 Listed for Sale Auction: 10th October @12.15pm(Unless Sold Prior),18 Aug 2004 Sold $695k
0,https://www.onthehouse.com.au/property/nsw/epping-2121/34-willoughby-st-epping-nsw-2121-12708357,"34 Willoughby St, Epping",4,2,1,,1003m2,$2.00M,$2.20M,$650/w,$750/w,House 1985 1003m2 Residential - A 1/1026 ,19 Sep 2020 Sold $2.32M,15 Feb 1985 Sold $120k,15 Feb 1985 Sold $120k
0,https://www.onthehouse.com.au/property/nsw/epping-2121/53-surrey-st-epping-nsw-2121-13466429,"53 Surrey St, Epping",4,1,1,,765m2,$1.60M,$1.80M,$425/w,$500/w,House 1984 765m2 Residential - A H/DP398562 ,19 Sep 2020 Sold $1.76M,"26 Aug 2020 Listed for Sale SOLD $1,755,000",12 Jul 1984 Sold $69k
0,https://www.onthehouse.com.au/property/nsw/epping-2121/52a-somerset-st-epping-nsw-2121-4313170,"52a Somerset St, Epping",4,2,2,238m2,584m2,$1.50M,$1.60M,$750/w,$850/w,House 2002 238m2 584m2 Residence Residential - A 2/1032921 ,18 Sep 2020 Sold $1.64M,02 Jun 2011 Sold $900k,17 Dec 2003 Sold $880k
0,https://www.onthehouse.com.au/property/nsw/epping-2121/146-carlingford-rd-epping-nsw-2121-21000519,"146 Carlingford Rd, Epping",-,-,-,,,$1.40M,$1.50M,,,House ,16 Sep 2020 Sold $1.42M,,
0,https://www.onthehouse.com.au/property/nsw/epping-2121/6a-mars-st-epping-nsw-2121-4746830,"6a Mars St, Epping",4,3,1,178m2,494m2,$1.60M,$1.80M,$650/w,$750/w,House 2001 178m2 494m2 Residential - A 92/1003711 ,15 Sep 2020 Sold $1.71M,11 Nov 2016 Sold $1.65M,08 Jan 2001 Sold $299k
0,https://www.onthehouse.com.au/property/nsw/epping-2121/10-cottee-dr-epping-nsw-2121-12455193,"10 Cottee Dr, Epping",4,3,3,,700m2,$1.80M,$2.00M,$575/w,$650/w,House 1985 700m2 Residential - A 5/DP714395 ,12 Sep 2020 Sold ,23 Jul 2020 Listed for Sale Auction:12th September @1.15pm (Unless Sold Prior),"01 Apr 2020 Listed for Sale Silent Auction Commence Bidding at $1,900,000"
0,https://www.onthehouse.com.au/property/nsw/epping-2121/71-pennant-pde-epping-nsw-2121-13139000,"71 Pennant Pde, Epping",4,2,2,150m2,780m2,$1.50M,$1.60M,$575/w,$650/w,House 1952 150m2 780m2 Residential - A 1/DP24993 ,12 Sep 2020 Sold $1.58M,18 Aug 2020 Listed for Sale Auction 12th Sept 3:30pm,19 Jul 1989 Sold $215k
0,https://www.onthehouse.com.au/property/nsw/epping-2121/14a-wingrove-ave-epping-nsw-2121-13434665,"14a Wingrove Ave, Epping",4,2,2,,581m2,$1.30M,$1.40M,$850/w,$950/w,House 1995 581m2 Residential - A 51/DP849743 ,12 Sep 2020 Sold ,16 Jul 2020 Listed for Sale Expressions of Interest,07 Jul 1995 Sold $230k
0,https://www.onthehouse.com.au/property/nsw/epping-2121/68-kent-st-epping-nsw-2121-12950061,"68 Kent St, Epping",4,2,2,,792m2,$1.50M,$1.60M,$575/w,$650/w,House 1978 792m2 Residential - A 2/DP31303 ,11 Sep 2020 Sold ,,
