,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/kellyville-2155/32-wildrose-st-kellyville-nsw-2155-4411640,"32 Wildrose St, Kellyville",4,3,2,524m2,$1.20M,$1.30M,$650/w,$750/w,House 2003 524m2 Vacant Land Residential - A 26/1034239 ,03 Oct 2020 Sold $1.31M,14 Apr 2003 Sold $550k,01 May 2002 Sold $234k,
0,https://www.onthehouse.com.au/property/nsw/kellyville-2155/21-aruma-ave-kellyville-nsw-2155-12624314,"21 Aruma Ave, Kellyville",4,2,2,697m2,$1.10M,$1.20M,$500/w,$575/w,House 1978 697m2 Residential - A 45/246291 ,02 Oct 2020 Sold $1.16M,07 Dec 1998 Sold $270k,07 Dec 1998 Sold $270k,
0,https://www.onthehouse.com.au/property/nsw/kellyville-2155/16-kinnard-way-kellyville-nsw-2155-13375632,"16 Kinnard Way, Kellyville",5,2,2,581m2,$1.30M,$1.40M,$650/w,$750/w,House 1998 581m2 Residential - A 809/DP875405 ,02 Oct 2020 Sold $1.31M,23 Sep 2020 Listed for Sale SOLD BY DANIEL LLAMAS 0421908736,23 Sep 2020 Listed for Sale Auction,
0,https://www.onthehouse.com.au/property/nsw/kellyville-2155/19-strathfillan-way-kellyville-nsw-2155-13647856,"19 Strathfillan Way, Kellyville",4,4,2,2193m2,$1.80M,$2.00M,$650/w,$750/w,House 1999 2193m2 Residential - A 1022/DP884497 ,01 Oct 2020 Sold ,30 Apr 1999 Sold $279k,30 Apr 1999 Sold $279k,
0,https://www.onthehouse.com.au/property/nsw/kellyville-2155/21-honeymyrtle-rd-kellyville-nsw-2155-15985101,"21 Honeymyrtle Rd, Kellyville",5,3,2,427m2,$1.10M,$1.20M,$750/w,$850/w,House 2012 427m2 Residence Residential - A 9132/1057915 ,26 Sep 2020 Sold $1.25M,04 Sep 2020 Listed for Sale SOLD BY KAEL AND MATTHEW,16 Aug 2018 Sold $990k,
0,https://www.onthehouse.com.au/property/nsw/kellyville-2155/58-james-mileham-dr-kellyville-nsw-2155-13179138,"58 James Mileham Dr, Kellyville",4,2,2,599m2,$1.20M,$1.30M,$650/w,$750/w,House 1996 599m2 Residential - A 203/DP879465 ,25 Sep 2020 Sold $1.40M,12 Jul 2018 Sold ,,
0,https://www.onthehouse.com.au/property/nsw/kellyville-2155/3-ava-pl-kellyville-nsw-2155-21004513,"3 Ava Pl, Kellyville",-,-,-,,$1.40M,$1.50M,,,House ,25 Sep 2020 Sold $1.58M,,,
0,https://www.onthehouse.com.au/property/nsw/kellyville-2155/118-president-rd-kellyville-nsw-2155-2355946,"118 President Rd, Kellyville",-,-,-,471m2,$1.20M,$1.30M,$575/w,$650/w,House 471m2 Residential - A 212/DP1096880 ,25 Sep 2020 Sold ,01 Nov 2006 Sold $280k,01 Nov 2006 Sold $280k,
0,https://www.onthehouse.com.au/property/nsw/kellyville-2155/10-harper-pl-kellyville-nsw-2155-13197138,"10 Harper Pl, Kellyville",4,3,2,696m2,$1.20M,$1.30M,$650/w,$750/w,House 2016 696m2 Residential - A 213/DP248327 ,23 Sep 2020 Sold $1.24M,19 Nov 2019 Sold ,13 May 2016 Sold $980k,
0,https://www.onthehouse.com.au/property/nsw/kellyville-2155/35-malonga-ave-kellyville-nsw-2155-2087106,"35 Malonga Ave, Kellyville",5,2,2,707m2,$1.10M,$1.20M,$650/w,$750/w,House 1996 707m2 Residence Residential - A 195/248327 ,23 Sep 2020 Sold $1.00M,26 Aug 2020 Listed for Sale SOLD BY DANIEL LLAMAS 0421908736,06 Dec 2011 Sold $495k,
0,https://www.onthehouse.com.au/property/nsw/kellyville-2155/3-hayes-ave-kellyville-nsw-2155-4527571,"3 Hayes Ave, Kellyville",4,4,3,600m2,$1.60M,$1.80M,$750/w,$850/w,House 2007 391m2 600m2 Vacant Land Residential - A 402/1035907 ,23 Sep 2020 Sold $1.82M,24 Jan 2014 Sold $1.27M,31 May 2002 Sold $280k,391m2
0,https://www.onthehouse.com.au/property/nsw/kellyville-2155/16-patterson-ave-kellyville-nsw-2155-2279586,"16 Patterson Ave, Kellyville",4,2,2,696m2,$1.10M,$1.20M,$650/w,$750/w,House 1980 696m2 Residence Residential - A 20/259947 ,22 Sep 2020 Sold $1.20M,13 Jan 2015 Sold $915k,"03 Nov 2014 Listed for Sale SOLD $915,000",
0,https://www.onthehouse.com.au/property/nsw/kellyville-2155/6-butler-ave-kellyville-nsw-2155-20950341,"6 Butler Ave, Kellyville",4,3,2,702m2,$1.80M,$2.00M,,,House 702m2 ,21 Sep 2020 Sold ,13 Jul 2020 Listed for Sale SOLD - 21/09/20,02 Jul 2020 Listed for Sale Sold,
