,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/kings-langley-2147/42-capricorn-rd-kings-langley-nsw-2147-13427173,"42 Capricorn Rd, Kings Langley",4,2,2,125m2,690m2,$900k,$1.00M,$500/w,$575/w,House 1985 125m2 690m2 Residential - A 2/DP260593 ,13 Oct 2020 Sold ,"30 Apr 2020 Listed for Sale Price Guide $950,000 to $1,045,000",22 May 2018 Sold $1.00M
0,https://www.onthehouse.com.au/property/nsw/kings-langley-2147/7-brett-st-kings-langley-nsw-2147-4387226,"7 Brett St, Kings Langley",3,2,4,118m2,600m2,$800k,$900k,$425/w,$500/w,House 1979 118m2 600m2 Residence Residential - A 1939/255431 ,10 Oct 2020 Sold ,15 Jul 2016 Sold $765k,20 Jun 2003 Sold $388k
0,https://www.onthehouse.com.au/property/nsw/kings-langley-2147/18-nicholson-cres-kings-langley-nsw-2147-13785232,"18 Nicholson Cres, Kings Langley",3,1,1,,697m2,$800k,$900k,$425/w,$500/w,House 1980 697m2 Residential - A 323/DP246683 ,08 Oct 2020 Sold $870k,17 Sep 2020 Listed for Sale SOLD BY JOHN HESSE,14 Jul 1982 Sold $76k
0,https://www.onthehouse.com.au/property/nsw/kings-langley-2147/39-gilbert-cres-kings-langley-nsw-2147-2244548,"39 Gilbert Cres, Kings Langley",4,2,4,,697m2,$1.00M,$1.10M,$500/w,$575/w,House 2006 697m2 Residence Residential - A 224/250276 ,08 Oct 2020 Sold $1.18M,"16 Sep 2020 Listed for Sale $1,175,000",13 May 2015 Sold $960k
0,https://www.onthehouse.com.au/property/nsw/kings-langley-2147/11a-baron-cl-kings-langley-nsw-2147-4432473,"11a Baron Cl, Kings Langley",3,2,1,135m2,290m2,$750k,$800k,$425/w,$500/w,House 2000 135m2 290m2 Residence Residential - A 4/285269 ,06 Oct 2020 Sold $750k,31 Aug 2020 Listed for Sale SOLD | Chris De Celis 0430 119 600,22 Jan 2015 Rented $490
0,https://www.onthehouse.com.au/property/nsw/kings-langley-2147/80-whitby-rd-kings-langley-nsw-2147-19433825,"80 Whitby Rd, Kings Langley",3,1,1,,714m2,$800k,$900k,$425/w,$500/w,House 1980 714m2 Residential - A 1573/246047 ,03 Oct 2020 Sold $990k,24 Jul 2018 Sold ,22 Nov 2016 Sold $870k
0,https://www.onthehouse.com.au/property/nsw/kings-langley-2147/42-marton-cres-kings-langley-nsw-2147-4779049,"42 Marton Cres, Kings Langley",4,3,3,,617m2,$1.00M,$1.10M,$575/w,$650/w,House 2001 617m2 Residential - A 4/868642 ,03 Oct 2020 Sold $1.27M,08 May 2000 Sold $216k,
0,https://www.onthehouse.com.au/property/nsw/kings-langley-2147/10-mercury-pl-kings-langley-nsw-2147-12272844,"10 Mercury Pl, Kings Langley",4,2,2,221m2,708m2,$900k,$1.00M,$575/w,$650/w,House 1980 221m2 708m2 Residential - A 222/DP244185 ,29 Sep 2020 Sold $1.01M,23 Sep 2016 Sold $935k,"25 Jun 2016 Listed for Sale $935,000"
0,https://www.onthehouse.com.au/property/nsw/kings-langley-2147/53-joseph-banks-dr-kings-langley-nsw-2147-13275977,"53 Joseph Banks Dr, Kings Langley",4,3,3,198m2,696m2,$900k,$1.00M,$650/w,$750/w,House 1980 198m2 696m2 Residence Residential - A 174/244185 ,26 Sep 2020 Sold $990k,"05 Mar 2020 Listed for Sale $1,030,000--$1,100,000",11 Apr 2012 Sold $602k
0,https://www.onthehouse.com.au/property/nsw/kings-langley-2147/61-joseph-banks-dr-kings-langley-nsw-2147-11604667,"61 Joseph Banks Dr, Kings Langley",3,2,4,155m2,696m2,$900k,$1.00M,$425/w,$500/w,House 1980 155m2 696m2 Residence Residential - A 178/244185 ,25 Sep 2020 Sold ,18 Jul 2011 Sold $522k,23 Feb 1996 Sold $174k
0,https://www.onthehouse.com.au/property/nsw/kings-langley-2147/10-botany-bvd-kings-langley-nsw-2147-12793498,"10 Botany Bvd, Kings Langley",3,1,2,,1035m2,$900k,$1.00M,$425/w,$500/w,House 1995 1035m2 Residential - A 774/DP245451 ,25 Sep 2020 Sold $991k,"24 Aug 2020 Listed for Sale $991,000",
0,https://www.onthehouse.com.au/property/nsw/kings-langley-2147/52-joseph-banks-dr-kings-langley-nsw-2147-4347328,"52 Joseph Banks Dr, Kings Langley",4,2,2,,695m2,$900k,$1.00M,$575/w,$650/w,House 1995 695m2 Residence Residential - A 293/244185 ,25 Sep 2020 Sold $960k,29 Jul 2020 Listed for Sale Under Contract,29 Sep 2003 Sold $460k
0,https://www.onthehouse.com.au/property/nsw/kings-langley-2147/16-hartam-st-kings-langley-nsw-2147-13011911,"16 Hartam St, Kings Langley",4,2,2,,700m2,$900k,$1.00M,$575/w,$650/w,House 1980 700m2 Residential - A 215/DP260104 ,19 Sep 2020 Sold $1.01M,"04 Sep 2020 Listed for Sale $1,012,000",
0,https://www.onthehouse.com.au/property/nsw/kings-langley-2147/8-hawke-pl-kings-langley-nsw-2147-13529227,"8 Hawke Pl, Kings Langley",4,2,2,,710m2,$900k,$1.00M,$425/w,$500/w,House 1979 710m2 Residential - A 577/DP246705 ,18 Sep 2020 Sold $933k,23 Jun 2020 Listed for Sale Sold by Craig Robinson !! 0433 517 660,02 May 1988 Sold $17k
0,https://www.onthehouse.com.au/property/nsw/kings-langley-2147/42-deptford-ave-kings-langley-nsw-2147-5924675,"42 Deptford Ave, Kings Langley",3,2,2,132m2,697m2,$900k,$1.00M,$500/w,$575/w,House 1980 132m2 697m2 Residence Residential - A 883/246506 ,15 Sep 2020 Sold $950k,"06 Jul 2020 Listed for Sale $950,000",10 Mar 2015 Sold $37k
0,https://www.onthehouse.com.au/property/nsw/kings-langley-2147/38-deptford-ave-kings-langley-nsw-2147-4514773,"38 Deptford Ave, Kings Langley",4,2,2,,697m2,$900k,$1.00M,$500/w,$575/w,House 1979 697m2 Residence Residential - A 1457/DP248804 ,12 Sep 2020 Sold $886k,10 Aug 2020 Listed for Sale SOLD AT AUCTION | JIMMY KANG,02 Aug 2002 Sold $452k
0,https://www.onthehouse.com.au/property/nsw/kings-langley-2147/7-pickersgill-st-kings-langley-nsw-2147-12808068,"7 Pickersgill St, Kings Langley",4,2,2,139m2,690m2,$800k,$900k,$575/w,$650/w,House 1980 139m2 690m2 Residence Residential - A 2047/255977 ,01 Sep 2020 Sold $930k,"01 Jul 2020 Listed for Sale $930,000",21 Oct 2011 Sold $582k
0,https://www.onthehouse.com.au/property/nsw/kings-langley-2147/7-tobias-pl-kings-langley-nsw-2147-13231614,"7 Tobias Pl, Kings Langley",2,1,1,,824m2,$800k,$900k,$425/w,$500/w,House 1981 824m2 Residential - A 2/DP261346 ,28 Aug 2020 Sold ,10 Nov 2015 Sold $533k,10 Nov 2015 Sold $533k
0,https://www.onthehouse.com.au/property/nsw/kings-langley-2147/5-wilkinson-ave-kings-langley-nsw-2147-4363730,"5 Wilkinson Ave, Kings Langley",3,3,7,132m2,744m2,$900k,$1.00M,$650/w,$750/w,House 1980 132m2 744m2 Residence Residential - A 1724/255760 ,28 Aug 2020 Sold $1.10M,21 Oct 2013 Sold $580k,20 Aug 2003 Sold $445k
