,Link,address,Bedrooms,Bathrooms,Car spaces,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Land area,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/96-constitution-rd-meadowbank-nsw-2114-14515367,"96 Constitution Rd, Meadowbank",3,1,1,$1.19M,$1.79M,$575/w,$650/w,House 1983 Residential - A ,27 Jul 2020 Sold ,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/2-macpherson-st-meadowbank-nsw-2114-14537972,"2 Macpherson St, Meadowbank",3,1,2,$1.50M,$1.60M,$500/w,$575/w,House 1980 657m2 Residential - A 1/327005 ,16 Oct 2018 Sold ,657m2,23 Feb 2016 Rented $510,15 Feb 2016 Listed for Rent $510 / Wk,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/4-stone-st-meadowbank-nsw-2114-13051854,"4 Stone St, Meadowbank",3,2,2,$1.40M,$1.50M,$575/w,$650/w,House 1990 282m2 Residential - A 2/DP285508 ,06 Apr 2018 Sold ,282m2,"12 Mar 2018 Listed for Sale Guide $1,500,000",10 Sep 1998 Sold $320k,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/1606-13-angas-st-meadowbank-nsw-2114-19722354,"1606/13 Angas St, Meadowbank",2,2,1,$700k,$750k,$500/w,$575/w,House 2015 111m2 6528m2 ,09 Feb 2018 Sold $760k,6528m2,23 Aug 2016 Sold $168k,24 Apr 2015 Sold $670k,111m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/8-11-bay-dr-meadowbank-nsw-2114-2551350,"8/11 Bay Dr, Meadowbank",1,1,1,$550k,$600k,$425/w,$500/w,House 2007 77m2 1160m2 Residential - A 164/SP79422 ,08 Nov 2017 Sold $617k,1160m2,02 Aug 2017 Listed for Sale UNDER CONTRACT,12 Feb 2008 Sold $403k,77m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/6-stone-st-meadowbank-nsw-2114-19461156,"6 Stone St, Meadowbank",3,1,1,$1.40M,$1.50M,$500/w,$575/w,House 1915 85m2 315m2 Residential - A 3/285508 ,24 Jul 2017 Sold $1.58M,315m2,"20 Apr 2017 Listed for Sale SOLD AT AUCTION FOR $1,580,000",27 Nov 2009 Sold $732k,85m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/21-1-bay-dr-meadowbank-nsw-2114-2296422,"21/1 Bay Dr, Meadowbank",2,1,1,$700k,$750k,$425/w,$500/w,House 2006 75m2 10526m2 Residential - A 54/SP76502 ,03 Jul 2017 Sold $795k,10526m2,29 Jun 2006 Sold $595k,20 Apr 2006 Sold $400k,75m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/127-bowden-st-meadowbank-nsw-2114-8160657,"127 Bowden St, Meadowbank",-,-,-,$3.95M,$5.93M,,,House 1976 555m2 Factory Business - B 2/14964 ,30 Jun 2017 Sold $10.25M,555m2,29 Apr 2009 Sold $2.15M,11 Oct 1999 Sold $2.15M,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/5-23-angas-st-meadowbank-nsw-2114-2287494,"5/23 Angas St, Meadowbank",1,1,1,$550k,$600k,$425/w,$500/w,House 2006 59m2 10526m2 Residential - A 191/SP77059 ,18 May 2017 Sold $598k,10526m2,04 Mar 2017 Listed for Sale OPEN HOME CANCELLED,19 Jun 2006 Sold $310k,59m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/4-9-bay-dr-meadowbank-nsw-2114-3548779,"4/9 Bay Dr, Meadowbank",1,1,1,$550k,$600k,$425/w,$500/w,House 2007 82m2 1160m2 Residential - A 43/SP78741 ,02 Dec 2016 Sold $625k,1160m2,"29 Sep 2016 Listed for Sale Buyers Guide $ 625,000",15 Aug 2007 Sold $415k,82m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/114-constitution-rd-w-meadowbank-nsw-2114-14280194,"114 Constitution Rd W, Meadowbank",3,2,1,$1.09M,$1.63M,,,House 1920 99m2 682m2 Residence Residential - A 15/9072 ,29 Nov 2016 Sold $1.46M,682m2,17 Feb 2002 Sold $455k,,99m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/12-bank-st-meadowbank-nsw-2114-12494739,"12 Bank St, Meadowbank",1,1,-,$800k,$900k,$300/w,$350/w,House 1980 3m2 796m2 Residential - A A/309651 ,29 Mar 2019 Listed for Rent $360- $410,796m2,29 Mar 2019 Listed for Rent $360- $410,13 Dec 2016 Rented $400,3m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/112-constitution-rd-w-meadowbank-nsw-2114-14280193,"112 Constitution Rd W, Meadowbank",4,2,3,$1.19M,$1.79M,,,House 1960 682m2 Residence Residential - A 16/9072 ,01 Jul 2016 Sold $1.49M,682m2,03 Mar 2004 Sold $575k,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/7-ross-smith-ave-meadowbank-nsw-2114-9262582,"7 Ross Smith Ave, Meadowbank",2,1,-,$2.00M,$2.20M,$425/w,$500/w,House 1980 273m2 657m2 Residence Residential - A 14/12059 ,02 May 2019 Listed for Rent $480,657m2,04 Dec 2015 Listed for Rent $450,23 Nov 2015 Sold $1.46M,273m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/13-13-bay-dr-meadowbank-nsw-2114-3664309,"13/13 Bay Dr, Meadowbank",1,1,1,$550k,$600k,$425/w,$500/w,House 2007 83m2 1160m2 Residential - A 132/SP79422 ,22 Apr 2015 Sold $555k,1160m2,"05 Mar 2015 Listed for Sale Offers Over $525,000",26 Oct 2007 Sold $390k,83m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/1a-bay-dr-meadowbank-nsw-2114-14103211,"1a Bay Dr, Meadowbank",1,1,2,$600k,$650k,$425/w,$500/w,House 1980 625m2 Business - B 4/DP1092972 ,,625m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/1-2c-angas-st-meadowbank-nsw-2114-12493095,"1/2c Angas St, Meadowbank",3,1,2,$900k,$1.00M,$500/w,$575/w,House 1940 120m2 682m2 Residential - A ,27 Jun 2014 Sold $885k,682m2,,,120m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/315-5-bay-dr-meadowbank-nsw-2114-16314913,"315/5 Bay Dr, Meadowbank",3,2,1,$800k,$900k,$650/w,$750/w,House 2006 10526m2 Residential - A 315/SP77059 ,03 Feb 2014 Sold $1.03M,10526m2,27 Jun 2007 Sold $8.00k,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/316-5-bay-dr-meadowbank-nsw-2114-16315030,"316/5 Bay Dr, Meadowbank",3,2,2,$800k,$900k,$650/w,$750/w,House 2006 10526m2 Residential - A 316/SP77059 ,03 Feb 2014 Sold $1.03M,10526m2,27 Jun 2007 Sold $8.00k,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/13-3-bay-dr-meadowbank-nsw-2114-14054571,"13/3 Bay Dr, Meadowbank",1,1,1,$550k,$600k,$425/w,$500/w,House 2006 71m2 10526m2 Residential - A 93/SP76502 ,31 Jan 2014 Sold $472k,10526m2,24 Apr 2006 Sold $385k,,71m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/32-see-st-meadowbank-nsw-2114-12607699,"32 See St, Meadowbank",1,1,1,$1.07M,$1.60M,,,House 1998 82m2 1255m2 Residence Residential - A 29/4773 ,31 Dec 2013 Sold $6.83M,1255m2,22 Dec 2011 Sold $6.83M,13 Jun 1997 Sold $18k,82m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/30-see-st-meadowbank-nsw-2114-13000971,"30 See St, Meadowbank",4,1,1,$1.11M,$1.67M,,,House 1994 618m2 Residence Residential - A PT28/978176 ,31 Dec 2013 Sold $6.83M,618m2,22 Dec 2011 Sold $6.83M,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/113-bowden-st-meadowbank-nsw-2114-8228811,"113 Bowden St, Meadowbank",5,3,3,$1.26M,$1.89M,,,House 2000 752m2 Residence Residential - A A/333391 ,31 Dec 2013 Sold $6.83M,752m2,22 Dec 2011 Sold $6.83M,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/16a-meadow-cres-meadowbank-nsw-2114-9153555,"16a Meadow Cres, Meadowbank",1,1,1,,,$300/w,$350/w,House 1009m2 Residential A-4 2/533550 ,07 Nov 2013 Sold $3.30M,1009m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/108-constitution-rd-w-meadowbank-nsw-2114-14280191,"108 Constitution Rd W, Meadowbank",3,2,-,$764k,$1.15M,,,House 1960 125m2 682m2 Residential - A 18/9072 ,,682m2,,,125m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/22-54-meadow-cres-meadowbank-nsw-2114-4310410,"22/54 Meadow Cres, Meadowbank",1,1,1,$450k,$500k,$300/w,$350/w,House 1967 183m2 1709m2 Residential - A 22/SP2888 ,19 Nov 2018 Listed for Rent DEPOSIT TAKEN,1709m2,25 Mar 2013 Sold $323k,19 Dec 2003 Sold $245k,183m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/94-adelaide-st-meadowbank-nsw-2114-13313909,"94 Adelaide St, Meadowbank",4,2,1,$2.20M,$2.40M,$850/w,$950/w,House 2012 319m2 653m2 Residence Residential - A 5/9072 ,07 Nov 2012 Sold $790k,653m2,,,319m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/20-see-st-meadowbank-nsw-2114-12554240,"20 See St, Meadowbank",4,2,1,$1.60M,$1.80M,$575/w,$650/w,House 1920 167m2 585m2 Residence Residential - A 1/964734 ,02 Oct 2012 Sold $925k,585m2,,,167m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/86-adelaide-st-meadowbank-nsw-2114-19437691,"86 Adelaide St, Meadowbank",3,2,1,$1.60M,$1.80M,$575/w,$650/w,House 1925 135m2 650m2 Residential - A 9/9072 ,02 Mar 2012 Sold $324k,650m2,16 Feb 2009 Sold $585k,,135m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/1b-angas-st-meadowbank-nsw-2114-3408744,"1b Angas St, Meadowbank",1,1,1,$1.13M,$1.70M,$425/w,$500/w,House 2012 277m2 601m2 Vacant Land Residential - A 4/DP1063126 ,06 Feb 2012 Sold $700k,601m2,16 Jul 2007 Sold $500k,30 Jan 2004 Sold $500k,277m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/28-see-st-meadowbank-nsw-2114-11971205,"28 See St, Meadowbank",4,2,2,$1.50M,$1.60M,$425/w,$500/w,House 1945 167m2 Residence Residential - A 101/1018156 ,20 Sep 2011 Sold $700k,167m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/106-constitution-rd-w-meadowbank-nsw-2114-14280190,"106 Constitution Rd W, Meadowbank",3,1,1,$1.18M,$1.77M,,,House 1950 683m2 Residence Residential - A 19/9072 ,08 Apr 2011 Sold $820k,683m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/74-141-bowden-st-meadowbank-nsw-2114-3757947,"74/141 Bowden St, Meadowbank",2,1,1,$700k,$750k,$500/w,$575/w,House 2004 79m2 4877m2 Residential - A 74/SP72616 ,20 Jan 2011 Sold $560k,4877m2,30 Mar 2007 Sold $445k,03 Sep 2002 Sold $515k,79m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/86-constitution-rd-w-meadowbank-nsw-2114-9132354,"86 Constitution Rd W, Meadowbank",4,2,3,$1.09M,$1.63M,,,House 1920 170m2 664m2 Residence Residential - A 5/12059 ,22 Sep 2010 Sold $730k,664m2,04 Nov 2005 Sold $560k,12 Sep 2003 Sold $618k,170m2
