,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/21-harefield-cl-north-epping-nsw-2121-2275013,"21 Harefield Cl, North Epping",4,3,2,1113m2,$1.80M,$2.00M,$575/w,$650/w,House 1993 1113m2 Residential - A K/27760 ,10 Oct 2020 Sold $1.86M,16 May 2006 Sold $820k,30 Jul 1993 Sold $275k,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/43-devon-st-north-epping-nsw-2121-3236138,"43 Devon St, North Epping",4,3,2,1290m2,$1.09M,$1.64M,$575/w,$650/w,House 1992 1290m2 Residential - A 2/29547 ,29 Sep 2020 Sold ,30 Jun 2008 Sold $243k,23 Nov 1992 Sold $73k,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/6-nirimba-ave-north-epping-nsw-2121-19420685,"6 Nirimba Ave, North Epping",4,2,1,1454m2,$1.60M,$1.80M,$500/w,$575/w,House 1992 1454m2 Residential - A 31/201195 ,25 Sep 2020 Sold ,06 Nov 1992 Sold $216k,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/138-norfolk-rd-north-epping-nsw-2121-12661853,"138 Norfolk Rd, North Epping",3,2,1,858m2,$1.40M,$1.50M,$575/w,$650/w,House 1970 858m2 Residential - A 12/DP21076 ,21 Sep 2020 Sold $1.49M,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/21-boundary-rd-north-epping-nsw-2121-13452599,"21 Boundary Rd, North Epping",3,1,2,872m2,$1.40M,$1.50M,$575/w,$650/w,House 1980 872m2 Residential - A 5/28931 ,14 Sep 2020 Sold $940k,26 Jul 2019 Sold ,19 Dec 2013 Sold $900k,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/21-hanover-ave-north-epping-nsw-2121-14369968,"21 Hanover Ave, North Epping",3,2,1,834m2,$1.40M,$1.50M,$500/w,$575/w,House 1978 834m2 Residential - A 42/DP31170 ,09 Sep 2020 Sold ,16 Jan 2020 Sold ,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/2-304-malton-rd-north-epping-nsw-2121-12761481,"2/304 Malton Rd, North Epping",4,3,2,789m2,$1.10M,$1.20M,$575/w,$650/w,House 1990 789m2 Residential - A ,05 Sep 2020 Sold $955k,18 Jul 1990 Sold $275k,18 Jul 1990 Sold $275k,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/19a-harefield-cl-north-epping-nsw-2121-4307908,"19a Harefield Cl, North Epping",6,2,2,654m2,$1.60M,$1.80M,$850/w,$950/w,House 2004 654m2 Residence Residential - A 12/DP1018077 ,05 Sep 2020 Sold $1.68M,16 Apr 2019 Listed for Rent $900 per week,22 Dec 2009 Sold $830k,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/25-grayson-rd-north-epping-nsw-2121-2112040,"25 Grayson Rd, North Epping",4,1,1,847m2,$1.50M,$1.60M,$650/w,$750/w,House 1975 178m2 847m2 Residential - A 19/30491 ,31 Aug 2020 Sold $1.62M,15 Oct 2004 Sold $625k,25 Jan 1996 Sold $277k,178m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/209a-malton-rd-north-epping-nsw-2121-13321487,"209a Malton Rd, North Epping",4,3,2,1328m2,$1.60M,$1.80M,$850/w,$950/w,House 1977 1328m2 Residential - A 3/DP566282 ,29 Aug 2020 Sold $1.74M,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/4-howard-pl-north-epping-nsw-2121-13982290,"4 Howard Pl, North Epping",4,2,4,739m2,$1.60M,$1.80M,$750/w,$850/w,House 1994 739m2 Residential - A 35/237976 ,26 Aug 2020 Sold $1.68M,"29 Jul 2020 Listed for Sale $1,680,000 - $1,750,000",05 Aug 1994 Sold $343k,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/4-woodvale-ave-north-epping-nsw-2121-4986958,"4 Woodvale Ave, North Epping",3,1,1,821m2,$1.30M,$1.40M,$500/w,$575/w,House 1978 821m2 Residential - A 11/DP28407 ,18 Aug 2020 Sold ,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/3-harper-st-north-epping-nsw-2121-10223595,"3 Harper St, North Epping",3,1,1,740m2,$1.30M,$1.40M,$650/w,$750/w,House 1950 130m2 740m2 Residence Residential - A 7/27776 ,15 Aug 2020 Sold $1.40M,16 Mar 2011 Sold $755k,17 Dec 1996 Sold $290k,130m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/38-boundary-rd-north-epping-nsw-2121-13071411,"38 Boundary Rd, North Epping",5,3,2,765m2,$2.20M,$2.40M,$425/w,$500/w,House 1960 765m2 Residence Residential - A 3/390924 ,15 Aug 2020 Sold $2.36M,10 Mar 2020 Listed for Sale For Sale Contact Agent,15 Feb 2013 Sold $755k,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/10-kirkwood-ave-north-epping-nsw-2121-14015842,"10 Kirkwood Ave, North Epping",2,1,1,746m2,$1.40M,$1.50M,$425/w,$500/w,House 1980 746m2 Residential - A 17/DP29866 ,13 Aug 2020 Sold ,19 Jul 1985 Sold $102k,19 Jul 1985 Sold $102k,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/124-norfolk-rd-north-epping-nsw-2121-13831708,"124 Norfolk Rd, North Epping",5,3,3,951m2,$1.50M,$1.60M,$575/w,$650/w,House 1970 951m2 Residential - A 8/DP11912 ,11 Aug 2020 Sold ,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/91-norfolk-rd-north-epping-nsw-2121-5934854,"91 Norfolk Rd, North Epping",3,2,2,603m2,$1.50M,$1.60M,$650/w,$750/w,House 1915 603m2 Residence Residential - A 3/21835 ,08 Aug 2020 Sold $1.72M,15 Jan 2020 Sold ,18 May 2010 Sold $1.11M,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/317a-malton-rd-north-epping-nsw-2121-12736299,"317a Malton Rd, North Epping",4,2,2,694m2,$1.60M,$1.80M,$650/w,$750/w,House 1977 200m2 694m2 Residential - A 2/DP525508 ,04 Aug 2020 Sold ,,,200m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/245-malton-rd-north-epping-nsw-2121-8325424,"245 Malton Rd, North Epping",4,2,2,853m2,$1.60M,$1.80M,$750/w,$850/w,House 1960 158m2 853m2 Residence Residential - A 10/19519 ,03 Aug 2020 Sold $1,09 Jul 2018 Listed for Rent Deposit Taken,31 May 2010 Sold $1.00M,158m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/20b-devon-st-north-epping-nsw-2121-2380459,"20b Devon St, North Epping",3,2,1,488m2,$1.40M,$1.50M,$575/w,$650/w,House 2006 488m2 Residential - A 32/DP865178 ,28 Jul 2020 Sold $1.46M,21 Dec 2006 Sold $621k,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/32-grigg-ave-north-epping-nsw-2121-13421549,"32 Grigg Ave, North Epping",3,1,1,803m2,$1.60M,$1.80M,$650/w,$750/w,House 1980 803m2 Residential - A 13/DP203441 ,22 Jul 2020 Sold ,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/36-boundary-rd-north-epping-nsw-2121-13213396,"36 Boundary Rd, North Epping",4,2,2,830m2,$1.40M,$1.50M,$650/w,$750/w,House 1985 830m2 Residential - A 2/DP23698 ,17 Jul 2020 Sold ,18 Oct 1985 Sold $121k,18 Oct 1985 Sold $121k,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/48-grayson-rd-north-epping-nsw-2121-13983037,"48 Grayson Rd, North Epping",4,2,2,740m2,$1.60M,$1.80M,$650/w,$750/w,House 1998 740m2 Residential - A 3/30491 ,13 Jul 2020 Sold $1.65M,23 Jan 1998 Sold $360k,23 Jan 1998 Sold $360k,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/274a-malton-rd-north-epping-nsw-2121-2154808,"274a Malton Rd, North Epping",4,2,-,655m2,$1.60M,$1.80M,$650/w,$750/w,House 2008 209m2 655m2 Residential - A 3/DP1067147 ,11 Jul 2020 Sold $1.65M,09 Nov 2005 Sold $828k,09 Nov 2005 Sold $828k,209m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/48-eastcote-rd-north-epping-nsw-2121-5627752,"48 Eastcote Rd, North Epping",4,2,2,897m2,$1.50M,$1.60M,$650/w,$750/w,House 1983 150m2 897m2 Residence Residential - A 17/30286 ,01 Jul 2020 Sold $1,26 Aug 2009 Sold $770k,24 May 1991 Sold $220k,150m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/27-grayson-rd-north-epping-nsw-2121-13980486,"27 Grayson Rd, North Epping",5,3,3,879m2,$1.60M,$1.80M,$650/w,$750/w,House 1960 189m2 879m2 Residential - A 20/DP30491 ,22 Jun 2020 Sold $1.64M,25 Mar 2020 Listed for Sale Under Contract,"03 Aug 2018 Listed for Sale $1,575,000",189m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/19-holland-st-north-epping-nsw-2121-13978776,"19 Holland St, North Epping",3,1,1,744m2,$1.40M,$1.50M,$650/w,$750/w,House 1978 744m2 Residential - A 27/DP30226 ,20 Jun 2020 Sold $1.43M,07 Dec 2018 Sold ,08 Feb 2018 Sold ,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/3-howard-pl-north-epping-nsw-2121-13981008,"3 Howard Pl, North Epping",4,3,2,739m2,$1.60M,$1.80M,$750/w,$850/w,House 1981 739m2 Residential - A 17/DP237976 ,18 Jun 2020 Sold $1.97M,11 Jun 2020 Listed for Sale For Sale - Contact Agent,30 Aug 2017 Sold $1.71M,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/14-harper-st-north-epping-nsw-2121-13977637,"14 Harper St, North Epping",3,1,6,758m2,$1.00M,$1.10M,$350/w,$425/w,House 1979 758m2 Residential - A 17/DP27776 ,17 Jun 2020 Sold $1.07M,29 May 2020 Listed for Sale Auction: 27th June at 10.15am (Unless Sold Prior),08 Dec 2019 Sold ,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/46-grayson-rd-north-epping-nsw-2121-13982897,"46 Grayson Rd, North Epping",6,3,3,740m2,$1.60M,$1.80M,$575/w,$650/w,House 1950 244m2 740m2 Residential - A 4/30491 ,06 Jun 2020 Sold $1.72M,15 Jan 2016 Sold $1.42M,"24 Sep 2015 Listed for Sale Sold $1,420,000",244m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/17-bedford-rd-north-epping-nsw-2121-13978351,"17 Bedford Rd, North Epping",3,1,1,707m2,$1.60M,$1.80M,$650/w,$750/w,House 1986 707m2 Residential - A 8/DP28412 ,05 Jun 2020 Sold $1.68M,28 Feb 1986 Sold $99k,28 Feb 1986 Sold $99k,
