,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/31-somerset-dr-north-rocks-nsw-2151-4934223,"31 Somerset Dr, North Rocks",4,2,2,753m2,$1.30M,$1.40M,$425/w,$500/w,House 1965 753m2 Residence Residential - A 78/225884 ,10 Oct 2020 Sold $1.39M,17 Sep 2020 Listed for Sale Auction (if not sold prior),21 Oct 2013 Sold $901k,
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/46-northam-dr-north-rocks-nsw-2151-13617149,"46 Northam Dr, North Rocks",3,2,2,702m2,$1.20M,$1.30M,$575/w,$650/w,House 1980 702m2 Residential - A 41/238081 ,07 Oct 2020 Sold ,01 Jan 1994 Sold $235k,06 Oct 1989 Sold $215k,
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/26-becky-ave-north-rocks-nsw-2151-2091400,"26 Becky Ave, North Rocks",6,4,2,701m2,$1.60M,$1.80M,$750/w,$850/w,House 1965 256m2 701m2 Residential - A 226/231722 ,06 Oct 2020 Sold $1.66M,"07 Sep 2020 Listed for Sale $1,660,000",07 Sep 2020 Listed for Sale Auction,256m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/19-statham-ave-north-rocks-nsw-2151-4108757,"19 Statham Ave, North Rocks",4,2,2,695m2,$1.10M,$1.20M,$425/w,$500/w,House 1983 695m2 Residence Residential - A 87/225884 ,03 Oct 2020 Sold $1.14M,18 Jan 1983 Sold $40k,,
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/2-106-north-rocks-rd-north-rocks-nsw-2151-2304702,"2/106 North Rocks Rd, North Rocks",2,1,2,721m2,$900k,$1.00M,$425/w,$500/w,House 1992 721m2 Residential - A 2/SP40782 ,30 Sep 2020 Sold $750k,13 Aug 2019 Listed for Rent $485 p.w.,13 Jul 2006 Sold $410k,
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/66-stirling-ave-north-rocks-nsw-2151-4741506,"66 Stirling Ave, North Rocks",5,2,2,689m2,$1.30M,$1.40M,$575/w,$650/w,House 1970 331m2 689m2 Residential - A 10/237779 ,22 Sep 2020 Sold ,09 Jun 2000 Sold $345k,28 Feb 1995 Sold $226k,331m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/6-williams-rd-north-rocks-nsw-2151-2251210,"6 Williams Rd, North Rocks",5,3,2,900m2,$1.50M,$1.60M,$500/w,$575/w,House 1975 350m2 900m2 Residential - A 2/249559 ,19 Sep 2020 Sold $1.47M,03 Apr 2006 Sold $651k,19 Dec 1997 Sold $371k,350m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/114-north-rocks-rd-north-rocks-nsw-2151-4687528,"114 North Rocks Rd, North Rocks",6,3,1,740m2,$1.60M,$1.80M,$500/w,$575/w,House 2013 334m2 740m2 Residence Residential - A 57/19113 ,18 Sep 2020 Sold ,27 Mar 2001 Sold $315k,30 Sep 1993 Sold $212k,334m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/10-alderson-ave-north-rocks-nsw-2151-4543195,"10 Alderson Ave, North Rocks",3,2,1,777m2,$1.10M,$1.20M,$650/w,$750/w,House 2002 777m2 Residence Residential - A 253/248615 ,14 Sep 2020 Sold $1.20M,10 Sep 2020 Listed for Sale Just Listed,20 Aug 2013 Sold $465k,
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/176a-north-rocks-rd-north-rocks-nsw-2151-4593042,"176a North Rocks Rd, North Rocks",3,2,1,513m2,$900k,$1.00M,$500/w,$575/w,House 1997 128m2 513m2 Residence Residential - A 1/1010949 ,29 Aug 2020 Sold $895k,13 Dec 2001 Sold $350k,,128m2
