,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/north-ryde-2113/185-lane-cove-rd-north-ryde-nsw-2113-13688797,"185 Lane Cove Rd, North Ryde",2,1,1,512m2,$1.20M,$1.30M,$425/w,$500/w,House 1970 512m2 Residential - A 10/DP656174 ,03 Oct 2020 Sold ,"15 Sep 2020 Listed for Sale $1,099,900",22 May 2012 Sold ,
0,https://www.onthehouse.com.au/property/nsw/north-ryde-2113/6-beswick-ave-north-ryde-nsw-2113-2495465,"6 Beswick Ave, North Ryde",3,1,4,626m2,$1.60M,$1.80M,$650/w,$750/w,House 1965 148m2 626m2 Residence Residential - A 2/599226 ,02 Oct 2020 Sold ,30 Sep 2016 Sold $1.75M,20 May 2013 Sold $965k,148m2
0,https://www.onthehouse.com.au/property/nsw/north-ryde-2113/37-edmondson-st-north-ryde-nsw-2113-13515782,"37 Edmondson St, North Ryde",3,2,3,557m2,$1.50M,$1.60M,$575/w,$650/w,House 1950 114m2 557m2 Residential - A 302/28914 ,30 Sep 2020 Sold $1.60M,10 Sep 2020 Listed for Sale Auction Unless Sold Prior,09 Sep 1996 Sold $245k,114m2
0,https://www.onthehouse.com.au/property/nsw/north-ryde-2113/7-nash-pl-north-ryde-nsw-2113-4516086,"7 Nash Pl, North Ryde",4,2,1,575m2,$1.60M,$1.80M,$750/w,$850/w,House 1970 575m2 Residence Residential - A 4/238562 ,26 Sep 2020 Sold ,31 Jul 2002 Sold $660k,01 Feb 1998 Sold $345k,
0,https://www.onthehouse.com.au/property/nsw/north-ryde-2113/74-avon-rd-north-ryde-nsw-2113-13436889,"74 Avon Rd, North Ryde",4,2,2,652m2,$1.60M,$1.80M,$575/w,$650/w,House 1980 652m2 Residential - A 10/DP36487 ,23 Sep 2020 Sold $1.51M,10 Dec 2018 Sold ,,
0,https://www.onthehouse.com.au/property/nsw/north-ryde-2113/27-chauvel-st-north-ryde-nsw-2113-13728184,"27 Chauvel St, North Ryde",3,1,2,544m2,$1.30M,$1.40M,$650/w,$750/w,House 1997 544m2 Residential - A 654/28915 ,23 Sep 2020 Sold $1.60M,28 Aug 1997 Sold $6.81k,28 Aug 1997 Sold $6.81k,
0,https://www.onthehouse.com.au/property/nsw/north-ryde-2113/103-kent-rd-north-ryde-nsw-2113-2226718,"103 Kent Rd, North Ryde",4,2,2,531m2,$2.00M,$2.20M,$850/w,$950/w,House 2012 205m2 531m2 Residence Residential - A 10/208668 ,19 Sep 2020 Sold ,20 Aug 2020 Listed for Sale Auction: 19th Sep at 1.15pm (Unless Sold Prior),09 Dec 2005 Sold $530k,205m2
0,https://www.onthehouse.com.au/property/nsw/north-ryde-2113/18-gilda-st-north-ryde-nsw-2113-12654598,"18 Gilda St, North Ryde",5,2,2,815m2,$2.00M,$2.20M,$500/w,$575/w,House 1950 190m2 815m2 Residential - A 35/DP28139 ,17 Sep 2020 Sold ,11 Sep 2015 Sold $1.74M,27 Oct 1989 Sold $195k,190m2
0,https://www.onthehouse.com.au/property/nsw/north-ryde-2113/173-lane-cove-rd-north-ryde-nsw-2113-13123582,"173 Lane Cove Rd, North Ryde",2,1,1,534m2,$1.20M,$1.30M,$500/w,$575/w,House 1970 534m2 Residential - A 1/DP127458 ,15 Sep 2020 Sold $1.00M,,,
0,https://www.onthehouse.com.au/property/nsw/north-ryde-2113/44-morshead-st-north-ryde-nsw-2113-13378115,"44 Morshead St, North Ryde",3,2,1,531m2,$1.40M,$1.50M,$575/w,$650/w,House 1958 531m2 Residential - A 397/DP28914 ,14 Sep 2020 Sold ,,,
0,https://www.onthehouse.com.au/property/nsw/north-ryde-2113/24-pindari-st-north-ryde-nsw-2113-12597862,"24 Pindari St, North Ryde",4,3,1,499m2,$1.50M,$1.60M,$500/w,$575/w,House 1979 499m2 Residential - A 23/DP214785 ,12 Sep 2020 Sold ,24 Aug 1990 Sold $214k,24 Aug 1990 Sold $214k,
0,https://www.onthehouse.com.au/property/nsw/north-ryde-2113/8-tobruk-st-north-ryde-nsw-2113-13436055,"8 Tobruk St, North Ryde",3,1,2,557m2,$1.50M,$1.60M,$575/w,$650/w,House 1980 7m2 557m2 Residential - A 220/28396 ,11 Sep 2020 Sold ,31 Aug 2017 Listed for Sale Contact Agent,15 Nov 1996 Sold $256k,7m2
0,https://www.onthehouse.com.au/property/nsw/north-ryde-2113/92-twin-rd-north-ryde-nsw-2113-13602146,"92 Twin Rd, North Ryde",3,1,1,811m2,$1.60M,$1.80M,$500/w,$575/w,House 1980 811m2 Residential - A 11/DP12670 ,11 Sep 2020 Sold ,12 Aug 2020 Listed for Sale For Sale - Contact Agent,20 Sep 2019 Sold ,
