,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/32-foxwood-ave-quakers-hill-nsw-2763-2230487,"32 Foxwood Ave, Quakers Hill",3,1,1,129m2,450m2,$750k,$800k,$425/w,$500/w,House 1980 129m2 450m2 Residential - A 66/806040 ,13 Oct 2020 Sold $750k,"22 Sep 2020 Listed for Sale Sold for $750,000","17 Sep 2020 Listed for Sale SOLD - 750,000 - 13/10/2020"
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/10-tallagandra-dr-quakers-hill-nsw-2763-2193467,"10 Tallagandra Dr, Quakers Hill",3,1,-,556m2,603m2,$750k,$800k,$425/w,$500/w,House 1980 556m2 603m2 Residential - A 6/258969 ,07 Oct 2020 Sold ,17 Sep 2007 Sold $285k,17 Sep 2007 Sold $285k
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/6-melinz-pl-quakers-hill-nsw-2763-2344383,"6 Melinz Pl, Quakers Hill",3,1,2,,698m2,$750k,$800k,$425/w,$500/w,House 1980 698m2 Residential - A 1141/800402 ,07 Oct 2020 Sold $765k,"08 Sep 2020 Listed for Sale $765,000",25 Sep 2017 Rented $450
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/72-barnier-dr-quakers-hill-nsw-2763-4026910,"72 Barnier Dr, Quakers Hill",3,1,2,,550m2,$800k,$900k,$425/w,$500/w,House 1993 550m2 Residence Residential - A 1751/818153 ,07 Oct 2020 Sold $815k,12 Dec 2008 Sold $415k,23 Sep 1994 Sold $174k
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/41-mallee-st-quakers-hill-nsw-2763-4841180,"41 Mallee St, Quakers Hill",4,2,1,134m2,561m2,$750k,$800k,$425/w,$500/w,House 1985 134m2 561m2 Residence Residential - A 210/261109 ,06 Oct 2020 Sold $810k,23 Jan 2012 Sold $410k,03 Nov 2003 Sold $375k
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/14-lyndel-cl-quakers-hill-nsw-2763-13808057,"14 Lyndel Cl, Quakers Hill",3,2,2,,338m2,$750k,$800k,$425/w,$500/w,House 1999 338m2 Residential - A 7/DP1005412 ,02 Oct 2020 Sold ,10 Aug 2020 Listed for Sale Sold,10 Aug 2020 Listed for Sale Sold
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/28-justin-pl-quakers-hill-nsw-2763-4410089,"28 Justin Pl, Quakers Hill",3,1,1,,325m2,$650k,$700k,$425/w,$500/w,House 1980 325m2 Residence Residential - A 4/817976 ,02 Oct 2020 Sold $685k,"02 Sep 2020 Listed for Sale $685,000",17 Apr 2003 Sold $273k
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/11-alfred-pl-quakers-hill-nsw-2763-2275473,"11 Alfred Pl, Quakers Hill",4,2,2,,633m2,$900k,$1.00M,$500/w,$575/w,House 1990 633m2 Residential - A 713/816032 ,30 Sep 2020 Sold $960k,13 Jan 2012 Sold $560k,25 May 2006 Sold $492k
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/4-maslin-cres-quakers-hill-nsw-2763-13805703,"4 Maslin Cres, Quakers Hill",4,3,4,260m2,602m2,$900k,$1.00M,$575/w,$650/w,House 1991 260m2 602m2 Residential - A 502/DP809465 ,29 Sep 2020 Sold $970k,05 Sep 1991 Sold $71k,05 Sep 1991 Sold $71k
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/6-gracelands-dr-quakers-hill-nsw-2763-2165039,"6 Gracelands Dr, Quakers Hill",3,2,1,135m2,564m2,$800k,$900k,$425/w,$500/w,House 1990 135m2 564m2 Residence Residential - A 18/800583 ,28 Sep 2020 Sold $840k,29 Jan 2010 Sold $432k,14 Jun 2005 Sold $323k
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/58-tichborne-dr-quakers-hill-nsw-2763-2215577,"58 Tichborne Dr, Quakers Hill",3,1,-,90m2,560m2,$650k,$700k,$350/w,$425/w,House 1970 90m2 560m2 Residential - A 90/250035 ,25 Sep 2020 Sold ,07 Feb 2019 Listed for Rent $440,26 Oct 2017 Listed for Rent $350
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/16-jasper-st-quakers-hill-nsw-2763-4454250,"16 Jasper St, Quakers Hill",4,2,2,,763m2,$900k,$1.00M,$575/w,$650/w,House 2002 763m2 Residence Residential - A 4/1034761 ,25 Sep 2020 Sold ,22 May 2009 Sold $510k,02 Dec 2002 Sold $485k
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/41-rowntree-st-quakers-hill-nsw-2763-4064291,"41 Rowntree St, Quakers Hill",4,2,1,155m2,550m2,$750k,$800k,$425/w,$500/w,House 1985 155m2 550m2 Residence Residential - A 216/746496 ,22 Sep 2020 Sold $730k,18 Dec 2008 Sold $365k,23 Apr 1999 Sold $216k
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/4-tippet-pl-quakers-hill-nsw-2763-11317113,"4 Tippet Pl, Quakers Hill",3,2,2,,606m2,$800k,$900k,$575/w,$650/w,House 1989 606m2 Residence Residential - A 81/778353 ,21 Sep 2020 Sold ,11 Apr 2011 Sold $475k,05 Nov 1990 Sold $161k
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/38-maslin-cres-quakers-hill-nsw-2763-13215162,"38 Maslin Cres, Quakers Hill",3,2,4,,878m2,$800k,$900k,$425/w,$500/w,House 1998 878m2 Residential - A 266/828398 ,21 Sep 2020 Sold $880k,"01 Sep 2020 Listed for Sale $880,000",02 Oct 1998 Sold $228k
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/9-ridgeway-cres-quakers-hill-nsw-2763-2151682,"9 Ridgeway Cres, Quakers Hill",3,1,1,,557m2,$900k,$1.00M,$350/w,$425/w,House 1980 557m2 Residence Residential - A 151/250237 ,21 Sep 2020 Sold $1.01M,04 Jun 2009 Sold $348k,08 Jun 2005 Sold $330k
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/53b-pagoda-cres-quakers-hill-nsw-2763-3754656,"53b Pagoda Cres, Quakers Hill",3,1,1,,770m2,$650k,$700k,$425/w,$500/w,House 1992 770m2 Residential - A ,21 Sep 2020 Sold ,21 Apr 2014 Rented $410,30 Jun 2004 Sold $325k
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/5a-aimee-st-quakers-hill-nsw-2763-10251058,"5a Aimee St, Quakers Hill",3,1,1,107m2,323m2,$700k,$750k,$425/w,$500/w,House 1980 107m2 323m2 Residence Residential - A 205/828794 ,18 Sep 2020 Sold $720k,08 Aug 2016 Sold $656k,"08 Jun 2016 Listed for Sale $660,000 to $690,000"
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/17-tallagandra-dr-quakers-hill-nsw-2763-2554212,"17 Tallagandra Dr, Quakers Hill",3,2,2,177m2,550m2,$750k,$800k,$425/w,$500/w,House 1980 177m2 550m2 Residential - A 10/258827 ,18 Sep 2020 Sold $750k,07 Aug 2020 Listed for Sale UNDER CONTRACT,25 Mar 2020 Listed for Rent $490.00 Per week
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/26-sycamore-cres-quakers-hill-nsw-2763-4780361,"26 Sycamore Cres, Quakers Hill",3,1,2,,563m2,$700k,$750k,$425/w,$500/w,House 1980 563m2 Residence Residential - A 20/251709 ,18 Sep 2020 Sold $786k,"25 Aug 2020 Listed for Sale $785,500",19 Oct 2011 Sold $385k
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/4-tallagandra-dr-quakers-hill-nsw-2763-4842681,"4 Tallagandra Dr, Quakers Hill",3,1,1,,561m2,$650k,$700k,$425/w,$500/w,House 1980 561m2 Residential - A 13/255251 ,18 Sep 2020 Sold $695k,03 Dec 2013 Sold $455k,24 Sep 1999 Sold $188k
