,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Floor area,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/36-gardener-ave-ryde-nsw-2112-13627430,"36 Gardener Ave, Ryde",4,2,2,629m2,$1.60M,$1.80M,$1100/w,$1250/w,House 1978 629m2 Residential - A 42/DP36248 ,03 Oct 2020 Sold $2.56M,18 Oct 2018 Sold $1.43M,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/117-bridge-rd-ryde-nsw-2112-13732827,"117 Bridge Rd, Ryde",4,2,2,925m2,$1.60M,$1.80M,$650/w,$750/w,House 1985 925m2 Residential - A 96/DP224300 ,03 Oct 2020 Sold $1.70M,,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/176-buffalo-rd-ryde-nsw-2112-3328675,"176 Buffalo Rd, Ryde",3,2,2,543m2,$1.50M,$1.60M,$575/w,$650/w,House 1950 170m2 543m2 Residence Residential - A 10/18187 ,01 Oct 2020 Sold $1.55M,02 Sep 2019 Listed for Rent $650 per week,170m2,11 Jul 2008 Sold $670k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/116a-church-st-ryde-nsw-2112-12587457,"116a Church St, Ryde",3,2,2,155m2,$1.20M,$1.30M,$575/w,$650/w,House 1993 144m2 155m2 Residential - A 192/DP865627 ,30 Sep 2020 Sold $910k,"26 Aug 2020 Listed for Sale $910,000",144m2,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/6-35-frederick-st-ryde-nsw-2112-13346359,"6/35 Frederick St, Ryde",3,2,2,2485m2,$939k,$1.15M,,,House 1987 121m2 2485m2 Residential - A 1/SP32349 ,25 Sep 2020 Sold $1.05M,"25 Jun 2020 Listed for Sale For Sale $980,000 to $1,010,000",121m2,"25 Jun 2020 Listed for Sale For Sale $980,000 to $1,010,000"
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/35-anderson-ave-ryde-nsw-2112-21004514,"35 Anderson Ave, Ryde",-,-,-,,$1.60M,$1.80M,,,House ,25 Sep 2020 Sold $1.49M,,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/54-belmore-st-ryde-nsw-2112-13153797,"54 Belmore St, Ryde",4,3,2,713m2,$2.00M,$2.20M,$750/w,$850/w,House 1971 713m2 Residential - A 25/DP11918 ,24 Sep 2020 Sold $1.78M,19 Feb 2019 Listed for Rent DEPOSIT TAKEN,,10 Oct 2017 Rented $850
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/4-arnold-st-ryde-nsw-2112-13659005,"4 Arnold St, Ryde",4,2,2,642m2,$1.60M,$1.80M,$650/w,$750/w,House 1979 642m2 Residential - A 24/DP30761 ,24 Sep 2020 Sold ,13 Dec 2013 Sold $865k,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/11-hinkler-ave-ryde-nsw-2112-11991899,"11 Hinkler Ave, Ryde",4,1,1,607m2,$1.80M,$2.00M,$650/w,$750/w,House 1980 607m2 Residence Residential - A 28/16013 ,19 Sep 2020 Sold $1.84M,19 Sep 2011 Sold $915k,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/5-hancott-st-ryde-nsw-2112-3296349,"5 Hancott St, Ryde",2,1,1,613m2,$1.40M,$1.50M,$425/w,$500/w,House 1980 613m2 Residential - A 1/173079 ,18 Sep 2020 Sold $1.40M,12 Sep 2019 Sold $1.32M,,22 Aug 2008 Sold $580k
