,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/west-pennant-hills-2125/11-kookaburra-pl-west-pennant-hills-nsw-2125-2104121,"11 Kookaburra Pl, West Pennant Hills",4,3,2,235m2,1225m2,$1.80M,$2.00M,$750/w,$850/w,House 1990 235m2 1225m2 Residence Residential - A 34/747195 ,06 Oct 2020 Sold $2.11M,"19 Aug 2020 Listed for Sale $2,050,000 - $2,150,000",09 Oct 2013 Sold $1.23M
0,https://www.onthehouse.com.au/property/nsw/west-pennant-hills-2125/4a-neptune-pl-west-pennant-hills-nsw-2125-4883309,"4a Neptune Pl, West Pennant Hills",3,2,2,,323m2,$1.10M,$1.20M,$575/w,$650/w,House 1993 323m2 Residence Residential - A 6/DP844198 ,03 Oct 2020 Sold $1.18M,12 Jun 2009 Sold $483k,12 Jun 2009 Sold $483k
0,https://www.onthehouse.com.au/property/nsw/west-pennant-hills-2125/2-new-farm-rd-west-pennant-hills-nsw-2125-4743418,"2 New Farm Rd, West Pennant Hills",3,2,2,120m2,617m2,$1.20M,$1.30M,$575/w,$650/w,House 1960 120m2 617m2 Residential - A 100/864530 ,02 Oct 2020 Sold $1.27M,"27 Jul 2020 Listed for Sale $1,270,000",07 Feb 2019 Sold $948k
0,https://www.onthehouse.com.au/property/nsw/west-pennant-hills-2125/19-boyd-ave-west-pennant-hills-nsw-2125-9099317,"19 Boyd Ave, West Pennant Hills",3,1,1,79m2,886m2,$1.20M,$1.30M,$650/w,$750/w,House 1960 79m2 886m2 Residence Residential - A 6/582886 ,02 Oct 2020 Sold ,04 Jun 2010 Sold $661k,05 Sep 1986 Sold $112k
0,https://www.onthehouse.com.au/property/nsw/west-pennant-hills-2125/19a-bredon-ave-west-pennant-hills-nsw-2125-2398699,"19a Bredon Ave, West Pennant Hills",4,2,2,,432m2,$1.40M,$1.50M,$850/w,$950/w,House 1987 432m2 Residential - A SP49205 ,01 Oct 2020 Sold ,15 Sep 2020 Listed for Sale Contact Agent,20 Oct 2013 Sold $771k
0,https://www.onthehouse.com.au/property/nsw/west-pennant-hills-2125/73-westmore-dr-west-pennant-hills-nsw-2125-13153736,"73 Westmore Dr, West Pennant Hills",5,2,2,,913m2,$1.60M,$1.80M,$750/w,$850/w,House 1985 913m2 Residential - A 12/DP597399 ,28 Sep 2020 Sold $1.88M,"17 Sep 2020 Listed for Sale $1,880,000",08 Oct 1987 Sold $205k
0,https://www.onthehouse.com.au/property/nsw/west-pennant-hills-2125/45-eaton-rd-west-pennant-hills-nsw-2125-2503336,"45 Eaton Rd, West Pennant Hills",5,3,6,,929m2,$1.50M,$1.60M,$750/w,$850/w,House 1979 929m2 Residential - A 2/552013 ,28 Sep 2020 Sold $1.40M,12 Apr 2007 Sold $675k,09 May 1984 Sold $102k
0,https://www.onthehouse.com.au/property/nsw/west-pennant-hills-2125/59-westmore-dr-west-pennant-hills-nsw-2125-13162731,"59 Westmore Dr, West Pennant Hills",4,3,2,,921m2,$1.60M,$1.80M,$650/w,$750/w,House 1986 921m2 Residential - A 46/255236 ,23 Sep 2020 Sold $1.75M,16 Dec 1994 Sold $130k,22 Apr 1988 Sold $335k
0,https://www.onthehouse.com.au/property/nsw/west-pennant-hills-2125/111-victoria-rd-west-pennant-hills-nsw-2125-12714484,"111 Victoria Rd, West Pennant Hills",4,3,2,,1065m2,$1.50M,$1.60M,$750/w,$850/w,House 1993 1065m2 Residential - A 3/DP263225 ,21 Sep 2020 Sold ,16 Dec 1993 Sold $278k,16 Dec 1993 Sold $278k
0,https://www.onthehouse.com.au/property/nsw/west-pennant-hills-2125/17-timberline-ave-west-pennant-hills-nsw-2125-12319998,"17 Timberline Ave, West Pennant Hills",4,3,2,,900m2,$1.60M,$1.80M,$850/w,$950/w,House 2014 900m2 Residential - A 73/815016 ,18 Sep 2020 Sold $1.81M,"13 Jul 2020 Listed for Sale $1,805,000",29 May 2014 Sold $1.33M
0,https://www.onthehouse.com.au/property/nsw/west-pennant-hills-2125/29-wesson-rd-west-pennant-hills-nsw-2125-2311407,"29 Wesson Rd, West Pennant Hills",3,1,1,,765m2,$1.20M,$1.30M,$575/w,$650/w,House 2006 765m2 Residential - A 9/230539 ,17 Sep 2020 Sold $1.27M,"01 Jul 2020 Listed for Sale $1,265,000",04 Aug 2006 Sold $549k
0,https://www.onthehouse.com.au/property/nsw/west-pennant-hills-2125/132-victoria-rd-west-pennant-hills-nsw-2125-2490821,"132 Victoria Rd, West Pennant Hills",3,1,1,,842m2,$1.30M,$1.40M,$575/w,$650/w,House 1980 842m2 Residential - A 4/23269 ,17 Sep 2020 Sold $1.33M,"14 Jul 2020 Listed for Sale $1,327,000",15 Apr 2015 Sold $262k
0,https://www.onthehouse.com.au/property/nsw/west-pennant-hills-2125/7-rosedale-pl-west-pennant-hills-nsw-2125-4634906,"7 Rosedale Pl, West Pennant Hills",5,3,3,349m2,1006m2,$2.40M,$2.60M,$950/w,$1100/w,House 1995 349m2 1006m2 Residence Residential - A 54/838633 ,16 Sep 2020 Sold $2.60M,"30 Jul 2020 Listed for Sale $2,600,000",29 May 2015 Sold $1.95M
0,https://www.onthehouse.com.au/property/nsw/west-pennant-hills-2125/6-lynton-grn-west-pennant-hills-nsw-2125-4642984,"6 Lynton Grn, West Pennant Hills",6,4,5,,765m2,$2.20M,$2.40M,$850/w,$950/w,House 2001 765m2 Residence Residential - A 24/DP285431 ,16 Sep 2020 Sold $2.35M,11 Aug 2020 Listed for Sale Just Listed,01 May 2020 Listed for Sale FOR SALE - CONTACT GORDON JOVIC 0416 114 487
0,https://www.onthehouse.com.au/property/nsw/west-pennant-hills-2125/21-colbarra-pl-west-pennant-hills-nsw-2125-15123776,"21 Colbarra Pl, West Pennant Hills",4,2,2,,1907m2,$1.60M,$1.80M,$650/w,$750/w,House 2008 1907m2 Residential - A 101/DP1015082 ,11 Sep 2020 Sold ,30 Jul 2020 Listed for Sale UNDER CONTRACT,21 Feb 2008 Sold $820k
0,https://www.onthehouse.com.au/property/nsw/west-pennant-hills-2125/3-leumeah-cl-west-pennant-hills-nsw-2125-12416914,"3 Leumeah Cl, West Pennant Hills",5,4,2,353m2,816m2,$1.80M,$2.00M,$575/w,$650/w,House 1980 353m2 816m2 Residential - A 22/220781 ,08 Sep 2020 Sold $1.93M,"11 Aug 2020 Listed for Sale $1,930,000","17 Jun 2020 Listed for Sale $1,969,000"
