,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,year_type,Sold_History1,Sold_History2,Sold_History3,rent_low,rent_high
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/2-105-constitution-rd-w-west-ryde-nsw-2114-14030627,"2/105 Constitution Rd W, West Ryde",3,2,1,166m2,1332m2,$863k,$1.29M,House 2005 166m2 1332m2 Residential - A 2/SP75854 ,26 Sep 2020 Sold $1.09M,28 Aug 2020 Listed for Sale Auction On Site September 26 at 1pm,28 Aug 2020 Listed for Sale Auction On Site September 26 at 1pm,,
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/67a-marsden-rd-west-ryde-nsw-2114-13997780,"67a Marsden Rd, West Ryde",4,2,2,,542m2,$1.20M,$1.30M,House 1990 542m2 Residential - A 2/DP1039275 ,24 Sep 2020 Sold ,22 Jul 2020 Listed for Sale SOLD,,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/11a-eulalia-st-west-ryde-nsw-2114-2484178,"11a Eulalia St, West Ryde",3,2,1,140m2,300m2,$1.20M,$1.30M,House 2000 140m2 300m2 Residence Residential - A 21/844213 ,19 Sep 2020 Sold $1.22M,26 Sep 2007 Sold $550k,11 Jul 2002 Sold $492k,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/1b-andrew-st-west-ryde-nsw-2114-4492080,"1b Andrew St, West Ryde",3,2,1,145m2,293m2,$1.30M,$1.40M,House 1990 145m2 293m2 Residence Residential - A 2/854666 ,17 Sep 2020 Sold $1.30M,13 Mar 2017 Sold $1.26M,09 Oct 2002 Sold $512k,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/34-dickson-ave-west-ryde-nsw-2114-13773602,"34 Dickson Ave, West Ryde",3,2,1,,449m2,$1.40M,$1.50M,House 1990 449m2 Residential - A 11/868412 ,14 Sep 2020 Sold ,19 Sep 1997 Sold $275k,19 Sep 1997 Sold $275k,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/8-herbert-st-west-ryde-nsw-2114-12410127,"8 Herbert St, West Ryde",2,2,2,98m2,524m2,$1.40M,$1.50M,House 1920 98m2 524m2 Residence Residential - A 44/523505 ,11 Sep 2020 Sold ,19 Nov 2012 Sold $866k,02 Jun 1994 Sold $207k,$425/w,$500/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/69-moss-st-west-ryde-nsw-2114-12884488,"69 Moss St, West Ryde",2,1,2,,601m2,$1.50M,$1.60M,House 1950 601m2 Residence Residential - A 111/11061 ,31 Aug 2020 Sold $1.55M,28 Nov 2018 Listed for Rent $600 Per Week,27 Oct 2018 Sold $1.28M,$425/w,$500/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/9-terry-rd-west-ryde-nsw-2114-13381335,"9 Terry Rd, West Ryde",2,1,1,,330m2,$1.10M,$1.20M,House 1979 330m2 Residential - A 1/DP214049 ,31 Aug 2020 Sold ,03 Aug 2020 Listed for Sale Another Successful Sale by Nick Matulic!,03 Mar 2020 Sold ,$350/w,$425/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/41-bennett-st-west-ryde-nsw-2114-13642752,"41 Bennett St, West Ryde",4,1,2,,607m2,$1.60M,$1.80M,House 1978 607m2 Residential - A 78/DP11061 ,31 Aug 2020 Sold ,12 Aug 2020 Listed for Sale Auction Unless Sold Prior,31 May 2018 Sold $1.66M,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/6-farnell-st-west-ryde-nsw-2114-13256535,"6 Farnell St, West Ryde",4,2,2,,921m2,$2.20M,$2.40M,House 1979 921m2 Residential - A 10/DP28953 ,28 Aug 2020 Sold ,25 Oct 1999 Sold $388k,,$650/w,$750/w
