,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/36-gideon-st-winston-hills-nsw-2153-5641311,"36 Gideon St, Winston Hills",4,2,-,146m2,557m2,$900k,$1.00M,$575/w,$650/w,House 1971 146m2 557m2 Residence Residential - A 129/234685 ,10 Oct 2020 Sold $925k,11 Sep 2020 Listed for Sale SOLD BY RAY WHITE BAULKHAM HILLS,01 Apr 2020 Listed for Rent ANOTHER LEASED BY RAY WHITE BAULKHAM HILLS
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/16-romulus-st-winston-hills-nsw-2153-12448490,"16 Romulus St, Winston Hills",4,3,2,,568m2,$1.10M,$1.20M,$575/w,$650/w,House 1972 568m2 Residential - A 86/DP239765 ,08 Oct 2020 Sold $1.15M,31 Aug 2020 Listed for Sale Under Offer,30 Jun 1972 Sold $34k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/36-asquith-ave-winston-hills-nsw-2153-4440531,"36 Asquith Ave, Winston Hills",4,2,1,151m2,708m2,$1.10M,$1.20M,$575/w,$650/w,House 1978 151m2 708m2 Residence Residential - A 327/233377 ,06 Oct 2020 Sold $1.01M,13 Apr 2010 Sold $570k,16 Jan 2003 Sold $460k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/2-lachlan-dr-winston-hills-nsw-2153-13193505,"2 Lachlan Dr, Winston Hills",3,2,2,,320m2,$900k,$1.00M,$500/w,$575/w,House 1996 320m2 Residential - A 18/270075 ,02 Oct 2020 Sold $930k,"14 Sep 2020 Listed for Sale $930,000",13 Dec 2019 Sold 
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/15-goodacre-ave-winston-hills-nsw-2153-12867894,"15 Goodacre Ave, Winston Hills",4,2,1,210m2,696m2,$1.10M,$1.20M,$575/w,$650/w,House 1970 210m2 696m2 Residential - A 44/230252 ,26 Sep 2020 Sold $1.39M,13 Nov 1998 Sold $285k,13 Nov 1998 Sold $285k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/4-twain-st-winston-hills-nsw-2153-12749633,"4 Twain St, Winston Hills",3,2,1,,570m2,$1.00M,$1.10M,$500/w,$575/w,House 1980 570m2 Residential - A 795/DP236126 ,22 Sep 2020 Sold ,26 Aug 2020 Listed for Sale Contact Agent | Leighton Avery,15 Feb 1989 Sold $202k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/39-clackmannan-rd-winston-hills-nsw-2153-2312925,"39 Clackmannan Rd, Winston Hills",4,2,1,179m2,695m2,$1.00M,$1.10M,$500/w,$575/w,House 1970 179m2 695m2 Residence Residential - A 50/231049 ,18 Sep 2020 Sold ,04 Aug 2006 Sold $495k,12 Oct 2001 Sold $364k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/52-huxley-dr-winston-hills-nsw-2153-13605874,"52 Huxley Dr, Winston Hills",3,1,1,,691m2,$1.00M,$1.10M,$500/w,$575/w,House 1978 691m2 Residential - A 99/DP230252 ,17 Sep 2020 Sold ,,
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/32-jerome-ave-winston-hills-nsw-2153-4575676,"32 Jerome Ave, Winston Hills",3,2,3,,563m2,$1.00M,$1.10M,$575/w,$650/w,House 1992 563m2 Residence Residential - A 784/236126 ,17 Sep 2020 Sold ,28 Aug 2020 Listed for Sale SOLD By Adam Elkholy,15 Feb 2002 Sold $355k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/167-caroline-chisholm-dr-winston-hills-nsw-2153-3325805,"167 Caroline Chisholm Dr, Winston Hills",5,3,2,,652m2,$1.10M,$1.20M,$575/w,$650/w,House 1980 652m2 Residential - A 750/242955 ,15 Sep 2020 Sold $1.24M,"02 Sep 2020 Listed for Sale SOLD | for $1,240,000",20 Jun 2008 Sold $560k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/4-ness-pl-winston-hills-nsw-2153-4103642,"4 Ness Pl, Winston Hills",3,1,1,112m2,575m2,$900k,$1.00M,$425/w,$500/w,House 1970 112m2 575m2 Residence Residential - A 343/235664 ,12 Sep 2020 Sold $868k,04 Feb 2019 Listed for Rent $500 per week,03 Feb 2009 Sold $435k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/17-yarrabee-rd-winston-hills-nsw-2153-9226034,"17 Yarrabee Rd, Winston Hills",4,2,1,,708m2,$900k,$1.00M,$500/w,$575/w,House 1999 708m2 Residential - A 1/218294 ,07 Sep 2020 Sold $970k,21 Aug 2020 Listed for Sale Under Contract,09 Apr 2019 Listed for Rent $540 per week
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/4-bundilla-ave-winston-hills-nsw-2153-12693566,"4 Bundilla Ave, Winston Hills",4,1,-,,924m2,$1.10M,$1.20M,$500/w,$575/w,House 1980 924m2 Residential - A 6/31031 ,04 Sep 2020 Sold $1.35M,"31 Jul 2020 Listed for Sale SOLD | for $1,350,000",04 Mar 1988 Sold $138k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/46-bellotti-ave-winston-hills-nsw-2153-9113436,"46 Bellotti Ave, Winston Hills",4,2,2,186m2,572m2,$1.10M,$1.20M,$575/w,$650/w,House 1975 186m2 572m2 Residence Residential - A 571/228561 ,03 Sep 2020 Sold $1.19M,18 Aug 2020 Listed for Sale Just Listed,26 Feb 2016 Sold $860k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/21-barnetts-rd-winston-hills-nsw-2153-13531636,"21 Barnetts Rd, Winston Hills",3,1,1,,556m2,$900k,$1.00M,$500/w,$575/w,House 1980 556m2 Residential - A 102/DP551562 ,01 Sep 2020 Sold $1,15 Aug 2016 Sold $790k,
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/2-prior-st-winston-hills-nsw-2153-13336425,"2 Prior St, Winston Hills",3,1,1,128m2,581m2,$800k,$900k,$350/w,$425/w,House 1960 128m2 581m2 Residential - A 478/236489 ,28 Aug 2020 Sold ,20 Aug 2013 Sold $622k,
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/26-ursula-st-winston-hills-nsw-2153-13381631,"26 Ursula St, Winston Hills",3,1,1,,567m2,$900k,$1.00M,$500/w,$575/w,House 1980 567m2 Residential - A 540/DP236489 ,24 Aug 2020 Sold $957k,16 Jan 1980 Sold $62k,16 Jan 1980 Sold $62k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/103-model-farms-rd-winston-hills-nsw-2153-13341594,"103 Model Farms Rd, Winston Hills",2,1,1,,847m2,$1.10M,$1.20M,$500/w,$575/w,House 1979 847m2 Residential - A 5/213991 ,20 Aug 2020 Sold $900k,23 Jan 1998 Sold $180k,23 Jan 1998 Sold $180k
